Creator,Frequency,translation_count,earliest_year,latest_year,frequency_categories,Years,Titles
University of Oxford,6,124,1721.0,1949.0,0-14,"[1886.0, 1734.0, 1721.0, 1865.0, 1949.0, 1758.0]","['Oxford University examination papers for the certificate in preventive medicine and public health.', 'Epithalamia oxoniensia..', 'Parecbolæ sive excerpta è corpore statutorum Universitatis oxoniensis. Accedunt articuli religionis XXXIX. in Ecclesia Anglicana recepti: nec non juramenta fidelitatis & suprematus. ...', 'An authentic copy of the poll for two burgesses to serve in Parliament for the University of Oxford ... 1865 ... Candidates ... William Ewart Gladstone ... Sir William Heathcote ... Gathorne Hardy.', ""General information concerning the courses in natural science at Oxford & Cambridge, prepared for the use of candidates for admission to the women's colleges."", 'Forma statutorum ad domum congregationis referendorum Jun. 30. 1758, & in domo convocationis proponendorum Jul. 3. 1758.']"
Marcus Tullius Cicero,15,124,1567.0,1984.0,15-29,"[1778.0, 1716.0, 1866.0, 1894.0, 1567.0, 1748.0, 1984.0, 1732.0, 1904.0, 1744.0, 1879.0, 1899.0, 1758.0, 1748.0, 1783.0]","['The letters of Marcus Tullius Cicero to several of his friends: with remarks by William Melmoth, Esq; the third edition. In three volumes. ...', 'Cicero on old age, a dialogue.', 'The oration against Q. Caecilius. With short English notes, for the use of schools.', 'Notabilia and test papers on Cicero, Pro Sex. Roscio Amerino.', 'Sententiae Ciceronis, Demosthenis, ac Terentii, Dogmata philosophica. Item, Apophthegmata quaedam pia. Omnia ex ... auctoribus, tam Graecis quàm Latinis ... collecta, etc.', 'M. T. Ciceronis De inventione rhetorica libri duo. Ex editione J. Oliveti', 'M. Tulli Ciceronis orationes', ""Tully's offices in English. The fifth edition corrected. By Mr. Tho. Cockman."", 'Speech of Marcus Tullius Cicero on behalf of Publius Cornelius Sulla /', ""M.T. Cicero's Cato Major, or his Discourse of old-age: with explanatory notes."", 'Ciceronis Pro Archia et Pro Balbo Orationes /', 'Cicero De Officiis /', 'Cato major; or, a treatise on old age, by M. Tullius Cicero. With explanatory notes from the Roman history. By the Honourable James Logan, Esq; ...', 'M. T. Ciceronis epistolarum ad familiares, : libri octo posteriores. Ex editione J. Oliveti..', 'Marci Tullii Ciceronis pro Marco Caelio oratio. Ex editione J. Oliveti.']"
Bertrand Russell,3,123,1955.0,1977.0,0-14,"[1977.0, 1959.0, 1955.0]","['Roads to freedom', '[My philosophical development.]', 'A Última Oportunidade do Homem /']"
Harvard University,2,122,1782.0,1795.0,0-14,"[1795.0, 1782.0]","['The compass [microform] : a poetical performance at the literary exhibition in September, MDCCXCV, at Harvard University /', 'Catalogus eorum qui in Universitate Harvardiana, Cantabrigiae, in republica Massachusettensi, ab anno MDCXLII, ad annum MDCCLXXXII, alicujus gradûs laureâ donati sunt. Ecclesiarum pastores literis Italicis exarantur. Qui ad imum classium à caeteris, lineâ interpositâ, separantur, alibi instituti suerunt, vel apud nos gradu honorario donati.']"
Nikita Sergeevich Khrushchev,4,121,1957.0,1960.0,0-14,"[1959.0, 1957.0, 1960.0, 1958.0]","['World peace is the desire of all peoples. A speech made ... at a meeting in the Rostov region village of Veshenskaya on August 30, 1959.', ""Literature, the arts and the life of the people. A summary of three speeches (made at a writers' conference ... May 13, 1957, at a reception of writers, artists, sculptors and composers on 19 May, and at a meeting of party members in July.)."", 'World without arms, world without wars. (A ... collection of speeches and statements ... on questions of Soviet foreign policy and the international situation.).', 'Proposals to reform Soviet education /']"
Jules Verne,3,120,1911.0,2000.0,0-14,"[1965.0, 2000.0, 1911.0]","['Journey to the centre of the earth /', 'Journey to the centre of the earth /', 'A journey to the centre of the earth /']"
Arthur Conan Doyle,4,119,1892.0,2004.0,0-14,"[1910.0, 2004.0, 1998.0, 1892.0]","['The doings of Raffles Haw /', 'The mysterious adventures of Sherlock Holmes /', 'The lost world : being an account of the recent amazing adventures of Professor George E. Challenger, Lord John Roxton, Professor Summerlee, and Mr E.D. Malone of the Daily Gazette /', 'The firm of Girdlestone : a romance of the unromantic /']"
University of Cambridge,7,118,1724.0,1900.0,0-14,"[1728.0, 1761.0, 1760.0, 1900.0, 1760.0, 1790.0, 1724.0]","['Fontes oriuntur è mari.', 'Gratulatio Academiae Cantabrigiensis auspicatissimas Georgii III. Magnae Britanniae Regis, et serenissimae Charlottae Principis de Mecklenburgh-Strelitz nuptias celebrantis..', 'Rules to be observed concerning lectures upon modern history.', 'Prolusiones academicae, or, exercises which having obtained a prize in the University of Cambridge were recited in the Senate House.', 'Rules to be observed concerning lectures upon modern history.', 'The poll for the election of two representatives in Parliament for the University of Cambridge, on Thursday, June 17, 1790. Candidates, Right Hon. William Pitt, Lord Euston, Lawrence Dundas, Esq. By John Beverley, A.M.', 'Phænomenon iridis solvi potest ex principiis opticis.']"
Walt Disney Company,5,117,1991.0,2012.0,0-14,"[1999.0, 2010.0, 1996.0, 1991.0, 2012.0]","[""Disney's The Lion King II : Simba's pride."", 'Disney fairies.', 'Disney, llyfr y jyngl /', ""The Little Mermaid's first colouring book."", 'Winnie the Pooh and the giant bees.']"
British Broadcasting Corporation,22,117,1952.0,2006.0,15-29,"[1981.0, 1974.0, 1975.0, 1987.0, 1957.0, 2000.0, 1980.0, 1984.0, 1970.0, 1952.0, 1987.0, 1981.0, 1984.0, 1970.0, 1987.0, 1995.0, 1973.0, 1970.0, 1976.0, 1964.0, 2006.0, 1994.0]","['The song and the story /', 'You and me.', 'Spirit of the age', 'The Archers the new official companion', '21. Presented to guests at a dinner given by the chairman and governors of the British Broadcasting Corporation on the occasion of the twenty-first anniversary of the inauguration of the BBC television service, the first high-definition public service in the world. The Dorchester Hotel, London, 2 November 1957. [With plates, including portraits.]', 'New ideas to help children learn : have your say.', ""God's wonderful railway, permanent way"", 'Puzzle trail /', ""What's wrong with the law? /"", 'Through the Iron Curtain : the BBC and the Cold War on the air.', 'The baffled heart', ""Priestland's progress one man's search for Christianity now"", ""Alec Clifton-Taylor's Totnes"", 'Fanny Cradock invites -', 'Cosmo and Dibs in the park', ""BBC-Vacher's biographical guide."", 'Living decisions in family and community /', 'On the farm /', 'Warning to the Western World', 'Face to face /', ""Max and Lara's amazing travelling space circus : a family guide to developing better reading and writing skills."", 'Forbidden Britain /']"
Rudyard Kipling,9,117,1892.0,1996.0,0-14,"[1996.0, 1918.0, 1912.0, 1931.0, 1892.0, 1913.0, 1929.0, 1901.0, 1914.0]","[""Mowgli's brothers /"", ""Kipling's message. [Address delivered by Mr. Rudyard Kipling at Folkestone, on February 15, 1918.]"", 'Le Livre de la Jungle /', 'East of Suez: being a selection of Eastern verses ... /', 'Barrack-room ballads and other verses', 'Departmental ditties and other verses. ...', 'The complete Stalky & Co. /', 'The Kipling reader, selections from the books of Rudyard Kipling.', 'Barrack-room ballads and other verses.']"
Bernard Shaw,6,116,1906.0,1981.0,0-14,"[1945.0, 1981.0, 1931.0, 1906.0, 1949.0, 1908.0]","[""Everybody's political what's what? /"", 'Candida &, How he lied to her husband facsimiles of the holograph manuscripts /', 'The complete plays of Bernard Shaw.', 'Is free trade alive or dead? : a lecture ; at the Glasgow Fabian Society at the City Hall, Glasgow, Oct. 2nd, 1903 /', 'Buoyant billions /', 'The common sense of municipal trading.']"
Thomas Mann,2,115,1976.0,1982.0,0-14,"[1982.0, 1976.0]","['Zwischen den Zeilen Manuskriptänderungen bei Thomas Mann', 'Lotte in Weimar /']"
Isaac Asimov,14,115,1955.0,1996.0,0-14,"[1955.0, 1964.0, 1960.0, 1973.0, 1963.0, 1972.0, 1972.0, 1996.0, 1974.0, 1969.0, 1973.0, 1994.0, 1970.0, 1994.0]","['The currents of space.', 'The genetic code.', 'The wellsprings of life. [The evolution of man.]', 'Where do we go from here?', 'Words from the myths /', 'Possible tomorrows science fiction /', 'Foundation /', 'Magic : the final fantasy collection /', 'Where do we go from here?.', 'Science, numbers and I', 'The Hugo winners /', 'Prelude to foundation /', 'The naked sun', 'What is a shooting star?']"
Benedictus de Spinoza,2,113,1788.0,1984.0,0-14,"[1984.0, 1788.0]","[""A study of Spinoza's Ethics"", ""Spinosa's philosophische Schriften.""]"
Prayers,3,113,1866.0,1957.0,0-14,"[1957.0, 1946.0, 1866.0]","['Prayers for a silence.', 'Prayers for club & hostel.', 'Prayers for cottage homes.']"
Vladimir Vladimirovich Nabokov,4,112,1972.0,2001.0,0-14,"[1991.0, 1972.0, 1979.0, 2001.0]","['Laughter in the dark /', 'The eye /', 'Stikhi [of] Vladimir Nabokov', 'The real life of Sebastian Knight /']"
Council of Europe,9,112,1968.0,2009.0,0-14,"[1991.0, 1978.0, 1989.0, 1995.0, 1986.0, 1984.0, 1975.0, 2009.0, 1968.0]","['Measuring cell adhesion /', 'Forum /', 'Forty years : Council of Europe : programme.', 'An environmental strategy for golf in Europe /', 'Alternative measures to imprisonment /', 'Alcohol and crime : study prepared at the request of the Council of Europe /', 'Bibliography of translations of codes and other laws of private law = Bibliographie des traductions des codes et autres droits droit privé /', 'Protocol No. 3 to the European Outline Convention on Transfrontier Co-operation between Territorial Communities or Authorities concerning Euroregional Co-operation Groupings (ECGs) = Protocole N° 3 à la Convention-cadre européenne sur la coopération transfrontalière des collectivités ou autorités territoriales relatif aux Groupements eurorégionaux de coopération (GEC).', 'International classification of patents for invention under the European Convention of 19th December, 1954.']"
Hermann Hesse,3,112,1942.0,1967.0,0-14,"[1942.0, 1961.0, 1967.0]","['Die Gedichte.', 'Stufen: alte und neue Gedichte in Auswahl.', 'Peter Camenzind /']"
Friedrich Schiller,8,112,1798.0,2003.0,0-14,"[1798.0, 1896.0, 1856.0, 2003.0, 1856.0, 1862.0, 1981.0, 1924.0]","['The minister: a tragedy. In five acts. Translated from the German of Schiller, ... by M. G. Lewis, ...', 'Lay of the bell /', 'Wallenstein. Ein dramatisches Gedicht.', 'The ghost-seer : an interesting tale from the memoirs of Count von O** /', 'Maria Stuart. Ein Trauerspiel.', 'The Piccolomini /', 'On the naive and sentimental in literature /', ""Gwilym Tel: drama. Cyfieithwyd i'r Gymraeg gan Elfed.""]"
Alexandre Dumas,5,111,1855.0,1937.0,0-14,"[1937.0, 1912.0, 1908.0, 1855.0, 1920.0]","['The three musketeers.', 'The vicomte de Bragelonne.', 'The lady with the camelias.', 'Impressions de Voyage. Le Spéronare.', 'The three musketeers /']"
Henrik Ibsen,2,111,1921.0,1935.0,0-14,"[1935.0, 1921.0]","['Eleven plays of Henrik Ibsen /', 'Peer Gynt: a dramatic poem /']"
Emile Zola,2,111,1964.0,1972.0,0-14,"[1972.0, 1964.0]","['Germinal /', 'Germinal /']"
Gunter Grass,2,110,1974.0,1974.0,0-14,"[1974.0, 1974.0]","['Gesammelte Gedichte /', 'Der Bürger und seine Stimme : Reden, Aufsätze, Kommentare / Günter Grass. -']"
United States Central Intelligence Agency,2,109,1993.0,1997.0,0-14,"[1997.0, 1993.0]","['Intelligence in the War of Independence.', 'Coping with the rising tide of European immigration.']"
Honore de Balzac,3,108,1902.0,1965.0,0-14,"[1946.0, 1902.0, 1965.0]","['Great French romances /', 'The two young brides. Translated from the French /', 'Le Curé de Tours. Pierrette /']"
Virginia Woolf,3,108,1928.0,1990.0,0-14,"[1932.0, 1928.0, 1990.0]","['The works of Virginia Woolf.', 'Mrs. Dalloway /', 'Night and day /']"
Maksim Gorky,2,108,1921.0,1930.0,0-14,"[1930.0, 1921.0]","[""Matvei Kozhemyakin. Povest'. Chast' III."", 'Mother /']"
Elizabeth Taylor,2,108,1990.0,1997.0,0-14,"[1990.0, 1997.0]","['Hester Lily : and other stories /', 'Kings Caple in Archenfield /']"
Samuel Beckett,5,107,1966.0,1989.0,0-14,"[1989.0, 1970.0, 1978.0, 1966.0, 1970.0]","[""Brodie's notes on Samuel Beckett's Waiting for Godot /"", 'Watt', 'Six residua /', 'Comédie et Actes Divers.', 'Anthology of Mexican poetry /']"
Herbert George Wells,6,107,1914.0,2008.0,0-14,"[1954.0, 1914.0, 1958.0, 1921.0, 1922.0, 2008.0]","['The first men in the moon /', 'The war in the air, and particularly how Mr. Bert Smallways fared while it lasted. [A novel] /', 'Bealby. Abridged /', 'The new teaching of history. With a reply to some recent criticisms of The outline of history [i.e. those of Arnold W. Gomme, the Archbishop of Liverpool and Joseph H.P. Belloc.]', 'Washington and the hope of peace, etc.', 'The time machine /']"
League of Nations,10,107,1927.0,1939.0,0-14,"[1939.0, 1927.0, 1930.0, 1931.0, 1938.0, 1931.0, 1931.0, 1934.0, 1939.0, 1931.0]","['European conference on rural life : national monographs drawn up by governments : United Kingdom.', 'International committee on intellectual co-operation : sub-committee of experts for the instruction of children and youth in the existence and aims of the League of nations : recommendations of the sub-committee of experts adopted by the committee together with the report on the work of the sub-committee /', 'Rapport de la Deuxième commission (mer territoriale) = Report of the Second commission (territorial sea).', 'Records of the Conference for the Limitation of the Manufacture of Narcotic Drugs, Geneva, May 27th to July 13th, 1931.', 'Suppression of the exploitation of the prostitution of others : further government answers received /', 'Commission of enquiry for European Union : unemployement.', 'Index to the records of the first session of the International Conference for the Unification of Laws on Bills of Exchange, Promissory Notes and Cheques : Geneva May 13th-June 7th 1930 : first session : Bills of Exchange and Promissory Notes.', 'Commission of enquiry into traffic in women and children in the East : summary of the report to the Council.', 'European conference on rural life : national monographs drawn up by governments : Lithuania.', 'Improvements in penal administration : supplement to the report by the Secretary-General to the twelfth Assembly.']"
Thomas Stearns Eliot,3,107,1943.0,1969.0,0-14,"[1943.0, 1947.0, 1969.0]","['Little Gidding /', 'On poetry. An address ... on the occasion of the twenty-fifth anniversary of Concord Academy.', 'On poetry and poets']"
Giovanni Boccaccio,3,106,1778.0,1939.0,0-14,"[1932.0, 1939.0, 1778.0]","['The Decameron ... /', 'Contes.', ""Nimfale Fiesolano nel quale si contiene l'innamoramento di Affrico e Mensola, poemetto in ottava rima di Gioanni Boccaccio, ridotto a vera lezione.""]"
Paul Cezanne,2,106,1939.0,1966.0,0-14,"[1939.0, 1966.0]","['Exhibition Cézanne 1839-1906 to celebrate his centenary ... April 19th-May 10th 1939. [A catalogue with reproductions.]', 'Album de Paul Cézanne /']"
David Hume,4,105,1751.0,1963.0,0-14,"[1751.0, 1762.0, 1766.0, 1963.0]","['Philosophical essays concerning human understanding. By Mr. Hume, ...', 'Geschichte von Grossbritannien, etc.', ""Exposé succinct de la contestation qui s'est élevée entre M. Hume. Et M. Rousseau, avec les pieces justificatives."", 'Essays. Moral, political and literary.']"
Pearl Sydenstricker Buck,2,105,1936.0,1976.0,0-14,"[1976.0, 1936.0]","['Other gods', 'The exile.']"
Doris Lessing,7,105,1960.0,1995.0,0-14,"[1988.0, 1989.0, 1995.0, 1992.0, 1973.0, 1990.0, 1960.0]","['The making of the representative for Planet 8 /', 'Particularly cats and more cats /', 'Briefing for a descent into hell /', 'London observed : stories and sketches /', 'The grass is singing', 'A ripple from the storm /', 'Play with a tiger. A play in three acts.']"
Lewis Carroll,5,105,1874.0,2010.0,0-14,"[1954.0, 1961.0, 1874.0, 2010.0, 2008.0]","[""Alice's adventures in wonderland and through the looking glass /"", 'Alice in wonderland /', 'Notes by an Oxford Chiel [C.L. Dodgson], 1865-1874.', ""Alice's adventures in Wonderland ; and, Through the looking glass and what Alice found there /"", ""Alice's adventures in Wonderland ; and, Through the looking-glass and what Alice found there /""]"
Gustave Flaubert,3,105,1911.0,1995.0,0-14,"[1913.0, 1911.0, 1995.0]","['La Tentation de Saint Antoine /', ""Trois Contes. Un Coeur Simple. La Légende de Saint Julien l'Hospitalier. Hérodias."", 'Le sottisier /']"
Charles Baudelaire,2,104,1937.0,1952.0,0-14,"[1952.0, 1937.0]","['Baudelaire par lui-meme', ""Le Spleen de Paris. Petits poëmes en prose, suivis des Journaux intimes et de choix de Maximes consolantes sur l'amour.""]"
UNICEF,2,104,1992.0,2003.0,0-14,"[1992.0, 2003.0]","['UNICEF UK national non-uniform day 1992.', 'Global strategy for infant and young child feeding.']"
John Steinbeck,2,103,1970.0,1978.0,0-14,"[1978.0, 1970.0]","['Travels with Charley : in search of America /', 'The pastures of Heaven /']"
Martin Heidegger,3,103,1968.0,1990.0,0-14,"[1984.0, 1968.0, 1990.0]","['Early Greek thinking /', 'What is called thinking?', 'Woodpaths = Chemins qui mènent nulle part.']"
Bertolt Brecht,2,103,1965.0,1972.0,0-14,"[1972.0, 1965.0]","['The resistible rise of Arturo Ui; a gangster spectacle.', 'Parables for the theater. Revised English versions by Eric Bentley. [With plates.]']"
Carl Gustav Jung,2,103,1959.0,1969.0,0-14,"[1969.0, 1959.0]","['Psychology and religion : west and east /', 'Aion : researches into the phenomenology of the self /']"
Englishman,4,102,1762.0,1852.0,0-14,"[1794.0, 1852.0, 1762.0, 1810.0]","['Thoughts on the theory and practice of the French constitution. In four letters.', 'Letters of ""an Englishman"" on Louis Napoleon, the empire, and the coup d\'etat. Reprinted, with large additions from the Times.', 'A letter to the Right Honourable the Earl of Bute, on the preliminaries of peace. From neither a noble lord; a candid Member of Parliament; an impartial Briton, but, an Englishman.', 'Advice to the Whigs with hints to the Democrats and caution to the Edinburgh Reviewers /']"
Nadine Gordimer,2,101,1977.0,1978.0,0-14,"[1978.0, 1977.0]","['Occasion for loving /', 'The lying days /']"
John Milton,13,100,1641.0,1955.0,0-14,"[1749.0, 1797.0, 1757.0, 1914.0, 1758.0, 1926.0, 1930.0, 1794.0, 1955.0, 1953.0, 1904.0, 1641.0, 1668.0]","[""Samson. An oratorio. As it is perform'd at the Theatre-Royal in Covent-Garden. Alter'd and adapted to the stage from the Samson Agonistes of Milton. Set to musick by George Frederick Handel."", ""Poems by John Milton, containing extracts from Paradise lost, L'allegro, Il penseroso; to which is prefixed a sketch of the author's life."", ""Paradise regain'd. A poem. In four books. Samson Agonistes. A dramatick poem. Comus. A mask: with Poems on several occasions and a tractate of education. The author John Milton."", ""Milton's sonnets and Coleridge's The rime of the ancient mariner /"", 'Paradise lost. A poem, in twelve books. The author John Milton. From the text of Thomas Newton D.D.', 'Poems of Mr. John Milton, both English and Latin, etc. [A reproduction of the first edition of 1645, prepared for the press by Milton, from the copy in the British Museum. Without the second half of the book containing the Latin poems. With a portrait.]', 'Arcades.', 'The poetical works of John Milton. With a life of the author, by William Hayley. ...', 'Areopagitica, and other prose works /', 'A selection of poems by John Milton /', 'Paradise lost. Bk. VI /', 'An answer to a booke entituled, An humble remonstrance· : In which, the originall of liturgy episcopacy is discussed. And qu aeres propounded concerning both. The parity of bishops and presbyters in scripture demonstrated. The occasion of their imparity in antiquity discovered. The disparity of the ancient and our moderne bishops manifested. The antiquity of ruling elders in the church vindicated. The prelaticall church bownded. /', 'Paradise lost. A poem written in ten books. The author John Milton.']"
John Dalton,2,100,1738.0,1745.0,0-14,"[1745.0, 1738.0]","['Two epistles. The first, to a young nobleman from his preceptor. Written in the year 1735-6. The second, to the Right Honourable the Countess of Hartford, at Percy-Lodge: in the year 1744. By the Revd. Mr. Dalton, ...', ""Comus, a mask: (now adapted to the stage) as alter'd from Milton's mask at Ludlow-Castle, which was never represented but on Michaelmas-Day, 1634; ... The musick was composed by Mr. Henry Lawes, ...""]"
Mary Wollstonecraft Shelley,3,99,1826.0,1984.0,0-14,"[1974.0, 1984.0, 1826.0]","['The story of Frankenstein', 'Frankenstein /', 'The last man /']"
International Atomic Energy Agency,7,99,1962.0,1999.0,0-14,"[1996.0, 1964.0, 1997.0, 1997.0, 1999.0, 1962.0, 1964.0]","['International Atomic Energy Agency publications : nuclear and radiological safety : nuclear power :  nuclear fuel cycle and waste management : 1995-1996', ""The Agency's budget for ... ."", 'IAEA at a glance.', 'Nuclear measurements, techniques and instrumentation, industrial applications, plasma physics and nuclear fusion, 1986-1996 /', 'Safeguards, non-proliferation and the peaceful uses of nuclear energy.', 'Publications of the International Atomic Energy Agency : a cumulative list, etc.', 'Library services available from the IAEA.']"
Daniel Defoe,27,99,1704.0,1998.0,15-29,"[1717.0, 1711.0, 1724.0, 1908.0, 1998.0, 1862.0, 1704.0, 1788.0, 1719.0, 1715.0, 1710.0, 1782.0, 1706.0, 1717.0, 1704.0, 1706.0, 1717.0, 1785.0, 1865.0, 1706.0, 1724.0, 1717.0, 1729.0, 1888.0, 1712.0, 1715.0, 1781.0]","['Memoirs of some transactions during the late ministry of Robert E. of Oxford.', ""The visions of Sir Heister Ryley: recommended to the town upon Captain Steel's, late author of the Tatler, having nothing more to say to the world, under the character of Isaac Bickerstaff."", 'The history of the remarkable life of John Sheppard, containing a particular account of his many robberies and escapes, ... The whole taken from the most authentick accounts, ... and from the confession of Sheppard ...', 'Memoirs of a cavalier; or, a military journal of the wars in Germany and the wars in England /', ""Roxana, or The fortunate mistress : a history of the life and vast variety of fortunes of Mademoiselle de Beleau, afterwards call'd the Countess de Wintselsheim, in Germany. Being the person known by the name of the Lady Roxana in the time of Charles II /"", 'The life and adventures of Robinson Crusoe /', 'An essay on the regulation of the press', 'The history and lives of all the most notorious pirates and their crews ... from Captain John Avery, who first settled at Madagascar, to Captain John Gow, ...', 'The farther adventures of Robinson Crusoe; being the second and last part of his life, and of the strange surprizing accounts of his travels round three parts of the globe. Written by himself. To which is added a map ...', 'A friendly epistle by way of reproof from one of the people called Quakers, to Thomas Bradbury, a dealer in many words [electronic resource].', 'The Banb---y apes: or, the monkeys chattering to the magpye. In a letter to a friend in London.', 'The history of the civil wars in Germany, from the year 1630 to 1635: also, genuine memoirs of the wars of England, in the unhappy reign of Charles the First; ... Written by a Shropshire gentleman, ...', ""A hymn to peace. Occasion'd, by the two Houses joining in one address to the Queen. By the author of The true-born English-man."", 'Secret memoirs of a treasonable conference at S..... House, for deposing the present ministry, and making a new turn at court.', 'A hymn to victory.', 'An essay at removing national prejudices against a union with Scotland. : To be continued during the Treaty here. Part I..', 'Secret memoirs of a treasonable conference at S..... House, for deposing the present ministry, and making a new turn at court.', 'The life and most surprizing adventures of Robinson Crusoe, of York, mariner; who lived eight-and-twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. ... Complete in one volume.', 'The life and strange surprising adventures of Robinson Crusoe /', 'A Discourse concerning the Union.', 'Considerations on publick credit. In a letter to a Member of Parliament.', ""A letter to Andrew Snape, occasion'd by the strife that lately appeared among the people called, clergy-men. By the author of the Declaration of truth."", 'Some objections humbly offered to the consideration of the Hon. House of Commons, relating to the present intended relief of prisoners.', 'Tour through the Eastern countries of England, 1722.', 'A justification of the Dutch from several late scandalous reflections: in which is shown the absolute necessity of preserving a strict and inviolable friendship betwixt Great-Britain and the States-General: ...', 'A reply to a traiterous libel, entituled, English advice to the freeholders of Great Britain.', 'A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre-Royal, Drury-Lane. (Taken from the original story.)']"
Horace,13,98,1580.0,1930.0,0-14,"[1930.0, 1743.0, 1803.0, 1739.0, 1721.0, 1926.0, 1713.0, 1755.0, 1904.0, 1712.0, 1737.0, 1580.0, 1705.0]","['Horace for English readers /', 'The satires, epistles, and art of poetry of Horace translated into English prose, as near the original as the different idioms of the Latin and English languages will allow. With the Latin text in the opposite page; and ... notes, in English, from the best commentators both ancient and modern, especially M. Dacier and P. Sanadon, ...', 'Quinti Horatii Flacci opera ...', ""Horace's satires, epistles, and art of poetry, done into English, with notes. By S. Dunster, ..."", 'The odes and satyrs of Horace, that have been done into English by the most eminent hands. Viz. Earl of Rochester. Earl of Roscommon. Mr. Cowley. Mr. Otway. Mr. Congreve. Mr. Prior. Mr. Maynwaring. Mr. Dryden. Mr. Milton. Mr. Pooly. With his art of poetry, by the Earl of Roscommon. To this edition is added several odes never before published.', 'Carminum.', ""The odes of Horace in Latin and English; with a translation of Dr. Bentley's notes. To which are added notes upon notes; ... Part XVIII. To be continued."", ""Sober advice from Horace, to the young gentlemen about town. As delivered in his second sermon. Imitated in the manner of Mr. Pope. Together with the original text, as restored by the Rev. R. Bentley, ... And some remarks on the version. Likewise two letters and epigrams, not inserted in the late editions of Mr. Pope's works."", 'Selected odes ... /', ""The odes of Horace in Latin and English; with a translation of Dr. Bentley's notes. To which are added, notes upon notes; ... Part XI. To be continued."", ""The odes, epodes, and carmen seculare of Horace, in English verse. To which is prefix'd the life of Horace: written by Suetonius. Translated from Dr. Bentley's Latin edition, by Mr. William Oldisworth."", 'Opera. Grammaticorum XL. tam antiquiss. quam neotericorum partim justis commentariis, partim succinctis annotationibus ... illustrata ...', 'Q. Horatii Flacci opera. Interpretatione & notis illustravit Ludovicus Desprez ... jussu Christianissimi regis. In usum serenissimi Delphini, ... Huic editioni accessere vita Horatii cum Dacerii notis, ...']"
Walt Whitman,2,98,1865.0,1916.0,0-14,"[1916.0, 1865.0]","['Leaves of grass. Selected from the complete edition. [With a portrait.]', ""Walt Whitman's drum taps.""]"
Frederic Mistral,2,98,1943.0,1966.0,0-14,"[1966.0, 1943.0]","[""Lou Tresor dou Felibrige, ou, Dictionnaire provençal-français embrassant les divers dialectes de la langue d'oc moderne ... Réimpression de l'edition 1879-1886."", ""Les Iles d'Or. Texte et traduction. (Avec la traduction littérale en regard.).""]"
Robert Boyle,2,98,1712.0,1718.0,0-14,"[1718.0, 1712.0]","[""Medicinal experiments: or, a collection of choice and safe remedies for the most part simple, and easiely prepar'd: very useful in families, and fitted for the service of country people. By the Honourable R. Boyle, ... In three parts. ..."", ""Medicinal experiments: or, a collection of choice and safe remedies for the most part simple, and easily prepar'd: very useful in families, and fitted for the service of country-people. By the Honourable R. Boyle, ... In three parts. ...""]"
Robert Louis Stevenson,37,98,1882.0,2013.0,30-44,"[1902.0, 1895.0, 1943.0, 2008.0, 1992.0, 1953.0, 1927.0, 1909.0, 1902.0, 1949.0, 1925.0, 1895.0, 1897.0, 1925.0, 1925.0, 1948.0, 1954.0, 2006.0, 1994.0, 1982.0, 1925.0, 1979.0, 1886.0, 1983.0, 1886.0, 2013.0, 1920.0, 1882.0, 1988.0, 1928.0, 1926.0, 1930.0, 1890.0, 1951.0, 1925.0, 1928.0, 2004.0]","['Catriona a sequel to Kidnapped', 'The amateur emigrant : from the Clyde to Sandy Hook /', 'The strange case of Dr. Jekyll and Mr. Hyde, and other stories', 'Stevenson en Cévennes /', 'The master of Ballantrae ; and, The Weir of Hermiston /', 'The black arrow and Prince Otto /', 'Kidnapped ...', 'A Lowden Sabbath morn /', 'An inland voyage /', 'An inland voyage /', ""Island nights' entertainment: consisting of The beach of Falesá, The bottle imp, The isle of voices."", 'Kidnapped, or, The lad with the silver button. [A serial story in ""Young folks paper"", vol. XXVIII, no. 805 - vol. XXIX, no. 818.]', 'Some lead-pencil drawings made in the neighbourhood of Monastier, France.', 'The black arrow : a tale of the two roses.', 'The black arrow : a tale of the two roses.', 'The master of Ballantrae.', 'Treasure Island /', 'Treasure Island /', 'Treasure Island /', 'Kidnapped', 'Virginibus Puerisque and other papers /', 'Virginibus puerisque y otros escritos /', 'Dr. Jekyll and Mr. Hyde and An inland voyage', ""L'étrange cas du Dr Jekyll et de M. Hyde ; suivi de Le diable dans la bouteille /"", 'Strange case of Dr. Jekyll and Mr. Hyde.', ""L'île au trésor."", 'François Villon, student, poet and housebreaker', 'New Arabian nights.', 'Catriona /', 'Catriona: a sequel to ""Kidnapped"" ...', 'An inland voyage /', ""Island nights' entertainments /"", 'Father Damien an open letter to the Reverend Dr. Hyde of Honolulu from Robert Louis Stevenson', 'Tusitala : eventyrfortelleren /', ""Die Abentauer John Nicholson's und andere Erzählungen /"", 'A Christmas sermon', 'Travels with Robert Louis Stevenson.']"
