author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Benjamin Parker,"['Parker, Benjamin,-1747.']","[""The divine authority of the scriptures philosophically prov'd: or, the Christian philosopher: to which is added, the Christian's prayer. To the whole is prefix'd a preface, containing a vindication of the truth of revelation, ...""]",[1742.0],"[""London : printed for the Society of booksellers for promoting learning, by purchasing manuscripts, copies, &c. design'd for the press; and sold by J. Crokatt, and Messrs. Osborne and Smith,""]",['eng'],[nan],['ESTC'],1742.0,1742.0,1,left_only
John Holmes,"['Holmes, John,1973-author.', 'Holmes, John,1703-1759.', 'Holmes, John,1703-1759.']","[""Darwin's bards : British and American poetry in the age of evolution /"", ""The grammarian's arithmetick: or, a compendious treatise of the art of cyphering, in all its branches, both vulgar and decimal. Adapted to the capacities of youth in general, ... The rules to be repeated, and sums to be perform'd, for the ease of both master and scholar, ... In four parts. By John Holmes, ..."", 'The Greek grammar; or, a short, plain, critical, and comprehensive method of teaching and learning the Greek tongue. ... To which is added, a suitable vocabulary. The seventh edition, revised and corrected. By John Holmes, ...']","[nan, 1743.0, 1771.0]","[nan, 'London : printed by T. Parker, for the author: and sold by C. Hitch,', 'London : printed for L. Hawes, W. Clarke and R. Collins; and W. Johnston,']","['eng', 'eng', 'eng']","['Literature and science.', nan, nan]","['Includes bibliographical references (page 263-282) and index.', 'ESTC', 'ESTC']",1743.0,1771.0,3,left_only
Gentleman,['Gentleman.'],"['Man superior to woman: or, the natural right of the men to sovereign authority over the women, asserted and defended. Being an answer to that celebrated treatise intitled, Woman not inferior to man, &c. ... By a gentleman.']",[1744.0],"['London : printed for J. Robinson,']",['eng'],[nan],['ESTC'],1744.0,1744.0,1,left_only
John Wesley,"['Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.aut', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.', 'Wesley, John,1703-1791.']","['A calm address to our American colonies. By John Wesley, ...', 'The doctrine of salvation, faith, and good works: extracted from the homilies of the Church of England', 'Select hymns for the use of Christians of all denominations', 'A companion for the altar Extracted from Thomas à Kempis. By John Wesley, ...', 'The complete English dictionary, explaining most of those hard words, which are found in the best English writers. By a lover of good English and common sense. ...', 'A word of advice to saints and sinners.', 'Farther thoughts upon Christian perfection', 'Select hymns for the use of Christians of all denominations', ""An extract of the Rev. Mr. John Wesley's journal, from February 16, 1755, to June 16, 1758"", ""An extract from the Rev. Mr. John Wesley's journal, from January 1, 1776, to August 8, 1779. XVIII"", 'The complete English dictionary, explaining most of those hard words, which are found in the best English writers. By a lover of good English and common sense.', 'A word of advice to saints and sinners.', ""The Christian's pocket companion: consisting of select texts of the New Testament, with suitable observations in prose and verse, for every day in the year. By John Barnes."", 'Instructions for Christians By John Wesley, M.A. ...', 'The distinguishing marks of a work of the Spirit of God [microform] /', 'The question, what is an Arminian? answered. By a lover of free grace', 'Some account of the life and death of Matthew Lee, executed at Tyburn, October 11, 1752, in the 20th year of his age.', ""An extract of the Rev. Mr. John Wesley's journal, from June 29, 1786, to Oct. 24, 1790. XXI [electronic resource]."", 'Primitive physick: or, an easy and natural method of curing most diseases.']","[1775.0, 1780.0, 1776.0, 1744.0, 1753.0, 1782.0, 1763.0, 1774.0, 1761.0, 1790.0, 1790.0, 1750.0, 1764.0, 1800.0, 1744.0, 1770.0, 1770.0, 1791.0, 1755.0]","['London : printed by R. Hawes, and sold at the Foundry, Moorfields,', 'London : printed by R. Hawes,', ""London : printed by R. Hawes, and sold at the Foundry, and at the Rev. Mr. Wesley's preaching-houses in town and country,"", 'London : printed by W. Strahan,', 'London : printed by W. Strahan; and sold by J. Robinson; T. Trye; T. James; and G. Englefield,', ""London : printed by J. Paramore, at the Foundry, Upper Moorfields: and sold at the Rev. Mr. Wesley's chapel, and at all his preaching-houses in town and country,"", 'London : printed in the year,', 'London : printed by R. Hawes,', 'Bristol : printed by William Pine,', 'London : printed by G. Paramore, sold by G. Whitfield; and at the Methodist preaching-houses in town and country,', ""London : printed and sold at the New-Chapel, and at the Rev. Mr Wesley's preaching-houses in town and country,"", 'Newcastle upon Tyne : printed by John Gooding,', 'Carmarthen : printed for and sold by the author at Pembroke; Mr. Palmer, in Bristol; and by all booksellers in Town and Country,', 'London : printed by G. Story, sold by G. Whitfield,', 'London : Printed by W. Strahan and sold by T. Trye,', 'Bristol : printed by William Pine,', 'Bristol : printed by William Pine,', 'London : printed by G. Paramore; and sold by G. Whitfield; and at the Methodist preaching-houses in town and country,', 'Bristol : printed: and sold by J. Palmer: By G. Woodfall, London; A.Dodd; J.Robinson; and T.Trye [London],']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Holy Spirit', nan, nan, nan, nan]","['Adams,', 'Baker 9', 'ESTC', 'Baker 36', 'Baker,', 'ESTC', 'ESTC', 'Baker 205i', 'ESTC', 'ESTC', 'Baker,', 'Baker 86', 'ESTC', 'Baker 296A', 'Microfiche.', 'ESTC', 'ESTC', 'ESTC', 'Baker,']",1744.0,1800.0,19,left_only
Thomas Dowie,"['Dowie, Thomas.']","[""A poem on regeneration, or, the new birth: composed into common metre, and publish'd for the help of weak and doubting Christians. To which are added, a few remarks on the present rebellion. By the author of The country-man's companion.""]",[1746.0],"['Edinburgh : printed by Thomas Lumisden and John Robertson,']",['eng'],[nan],"['Foxon,']",1746.0,1746.0,1,left_only
A. Fisher,"['Fisher, A.(Anne),1719?-1778.aut']","[""The American instructor: or, Young man's best companion. Containing, spelling, reading, writing, and arithmetick, in an easier way than any yet published; and how to qualify any person for business, without the help of a master. Instructions to write variety of hands ... How to write letters on business or friendship. Forms of indentures ... releases, &c. Also merchants' accompts, and a short and easy method of shop and book-keeping; with a description of the several American colonies. Together with the carpenter's plain and exact rule: shewing how to measure carpenters ... and painters work ... Likewise the practical gauger made easy ... To which is added, The poor planter's physician ... And also prudent advice to young tradesmen and dealers. The whole better adapted to these American colonies, than any other book of the like kind. By George Fisher, accomptant.""]",[1748.0],"['Philadelphia : Printed by B. Franklin and D. Hall, at the new-printing-office, in Market-Street,']",['eng'],[nan],"[""Rosenbach, A.S.W. Children's books,""]",1748.0,1748.0,1,left_only
Thomas Moore,"['Moore, Thomas,-1756.', 'Moore, Thomas,1779-1852', 'Moore, Thomas,1779-1852.', 'Moore, Thomas,1779-1852.', 'Moore, Thomas,1779-1852.', 'Moore, Thomas,1779-1852.']","['Observations on the first vision of St. John Shewing the particular formation, nature, and use of the prophetic scheme therein exhibited.', ""The harp that once through Tara's halls."", 'The works of Lord Byron, with his letters and journals', 'Selection of Irish melodies, songs, and poems.', 'Poetical works.', 'Works : With his letters and journals, and his life by Thomas Moore, Esq.']","[1750.0, 1875.0, 1834.0, 1859.0, 1897.0, 1832.0]","['London : printed for John Noon,', ""[Glasgow] : Poet's Box, 80 London Street, Glasgow,"", 'London J. Murray', 'London,', 'London,', 'London :b John Murray,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'Ballads, English', 'Byron, George Gordon Byron, Baron, 1788-1824.', nan, nan, nan]","['ESTC', ""Dated at the foot of the sheet - 'Saturday Dec. 18, 1875'."", 'Added engraved title-pages have inclusive dates, 1832-1833', nan, nan, ""I-V. Life of Lord Byron -- VI. Life of Lord Byron ; Miscellaneous pieces in prose -- VII. Hours of idleness ; Occasional pieces, 1807-8 ; English bards and Scotch reviewers ; Occasional pieces, 1808-1810 -- VIII. Childe Harold's pilgrimage -- IX. Occasional pieces, 1811-13 ; Hints from Horace ; The curse of Minerva ; The waltz ; The Giaour ; The bride of Abydos ; The corsair -- X. Ode to Napoleon Buonaparte ; Lara ; Hebrew melodies ; The siege of Corinth ; Parisina ; Domestic pieces ; Monody on the death of the Right R.B. Sheridan ; The prisoner of Chillon ; The dream ; Occasional pieces, 1814-1816 -- XI. Manfred ; The lament of Tasso ; Beppo ; Mezeppa ; Ode to Venice ; The Morgante maggiore of Pulci ; The prophecy of Dante ; Occasional pieces -- XII. Francesca of Rimini ; Stanzas to the Po ; Stanzas ; The Blues ; Marino Faliero ; The vision of judgment ; Occasional pieces -- XIII. Heaven and earth ; Sardanapalus ; The two Foscari ; The deformed Stanzas ; Lines -- XIV. Cain ; Werner ; The age of bronze ; The island ; Stanzas ; Lines -- XV-XVII. Don Juan.""]",1750.0,1897.0,6,left_only
John Burton,"['Burton, John,1921-', 'Burton, John,1696-1771.', 'Burton, John,1710-1771.Ascanius.']","['How would you like to live?', 'The parish priest: a poem.', ""The wanderer: or, surprizing escape. : A narrative founded on true facts. Containing a series of remarkable events, during a late very extraordinary adventure, from the projection, to its appearance i the North, and total defeat. Interspers'd with several curious and authentic particulars the public has hitherto been unacquainted with, and wrote without prejudice or partiality: taken from the journals of two persons principally concerned in the whole transaction. With some remarks on a romance called Ascanius: shewing the author thereof very defective in his materials, and candour in the relation..""]","[1975.0, 1800.0, 1752.0]","['Glasgow Blackie', 'London : printed by C. Whittingham: sold by A. and J. Black; Faulder; Robinsons; Fletcher, Oxford; Deighton, Cambridge; Crutwell, Bath; and Lister, Edmonton,', 'Glasgow: : [s.n.],']","['eng', 'eng', 'eng']","['Human ecology', nan, 'Jacobite Rebellion, 1745-1746.']","['ISBN 0-216-89678-9 Pbk : £1.10', 'ESTC', 'ESTC']",1752.0,1975.0,3,left_only
Ralph Heathcote,"['Heathcote, Ralph,1721-1795.', 'Heathcote, Ralph,1721-1795.']","['Some remarks on a book, entitled, A view of the expediency and credibility of miraculous powers among the primitive Christians, after the decease of the apostles. Represented in a charge delivered to the clergy of the archdeaconry of Sudbury: and other papers ... on the same subject ... By John Chapman D.D. By the author of the Cursory animadversions upon a late controversy concerning the miraculous powers, &c.', ""A letter to the Revd. Thomas Fothergill, M.A. Fellow of Queen's College, Oxford; relating to his sermon preached before that university on Tuesday, January 30, 1753. Upon the reasonableness and uses of commemorating King Charles's martyrdom.""]","[1752.0, 1753.0]","['London : printed for Thomas Payne,', 'London : printed for W. Owen,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1752.0,1753.0,2,left_only
Micaiah Towgood,"['Towgood, Micaiah,1700-1792.', 'Towgood, Micaiah,1700-1792.']","[""Extracts from a pamphlet, entitled A calm and plain answer to the enquiry, why are you a dissenter from the Church of England? In a letter to a friend. By the author of the dissenting gentleman's letters to White"", 'The baptism of infants, a reasonable service; founded upon Scripture, and undoubted apostolic tradition: in which its moral purposes and use in religion are shewn.']","[1772.0, 1753.0]","['Worcestershire,', 'London : printed and sold by J. Waugh; and A. Tozer, in Exeter,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1753.0,1772.0,2,left_only
Philip Skelton,"['Skelton, Philip,1707-1787.']","['In the press, and speedily will be published, Discourses, controversial and practical: written on the most interesting subjects; and suited to the present times. In two large octavo volumes. By the author of Deism revealed. ...']",[1754.0],"['[London?,']",['eng'],[nan],['ESTC'],1754.0,1754.0,1,left_only
Madame de Villedieu,"['Villedieu,Madame de,-1683.']","['The exiles of the court of Augustus Cæsar. Being the secret history of the illustrious Ovid, Horace, ... and many other famous personages of that age. In three parts. By a celebrated author of a neighbouring kingdom']",[1754.0],"['Dublin : printed for William Williamson,']",['eng'],[nan],['ESTC'],1754.0,1754.0,1,left_only
John Brett,"['Brett, John,Rector of Moynalty.']","['To all the serious, honest, and well-meaning people of Ireland, the following queries are affectionately addressed and recommended to their serious perusal. To which is prefixed, a letter from the editor to the printer. And at the end is added, An epistle dedicatory, ...']",[1754.0],"['[Dublin] : Printed in the year [by S. Powell],']",['eng'],[nan],['ESTC'],1754.0,1754.0,1,left_only
Philip Miller,"['Miller, Philip,1691-1771.']","['The gardeners dictionary. Containing the methods of cultivating and improving all sorts of trees, plants, and flowers, for the kitchen, fruit, and pleasure gardens ; as also those which are used in medicine : with directions for the culture of vineyards, and making of wine, in England. ...']",[1754.0],"['London printed for the author ; and sold by John and James Rivington, ...']",['eng'],['Gardening'],[nan],1754.0,1754.0,1,left_only
George Moir,"['Moir, George,writer in Aberdeen.']",['Answers for George Moir writer in Aberdeen trustee for the creditors of Mr. Alexander Bannerman merchant in Aberdeen; to the petition for William Walker merchant in Aberdeen.'],[1754.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],1754.0,1754.0,1,left_only
John Brown,"['Brown, John,1715-1766.', 'Brown, John,1784-1858.', 'Brown, John,1722-1787.', 'Brown, John,genealogist.', 'Brown, John,1715-1766.', 'Brown, John,1924-1985.', 'Brown, John,1722-1787.', 'Brown, John,1722-1787.', 'Brown, John,1722-1787.', 'Brown, John,1810-1882.', 'Brown, John,1722-1787.', 'Brown, John,1715-1766.', 'Brown, John,1810-1882.', 'Brown, John,1810-1882.']","[""Barbarossa. A tragedy. Taken from the manager's book, at the Theatre Royal, Covent-Garden."", 'Hebrews', 'Two short catechisms mutually connected; the questions of the former being generally supposed and omitted in the latter. ... By John Brown, ...', 'An historical & genealogical tree, of the ancient and noble house of Elphinstone : from John de Elphinstone, who was a Baron of Scotland ... until the present time & year, MDCCCVIII /', 'Essays on the Characteristics. By John Brown, ...', 'Shades of grey a report on police-West Indian relations in Handsworth', 'The evangelical expositor, or, a commentary on the Holy Bible ; wherein the sacred text of the Old and New Testaments is inserted at large, the sense explained, and the more difficult passages elucidated, wtih practical observations for the use of families and private Christians /', 'The Psalms of David, in metre: ... allowed by the authority of the General Assembly of the Kirk of Scotland, ...', 'Two short catechisms mutually connected; the questions of the former being generally supposed and omitted in the latter. ... By John Brown, ...', 'Rab and his friends /', 'Leabhar-cheistean aithgearr, airson Clann Og /', 'Thoughts on civil liberty, on licentiousness, and faction. By the author of Essays on the characteristics, &c.', 'Our dogs /', 'Marjorie Fleming /']","[1790.0, 1973.0, 1769.0, 1808.0, 1755.0, 1977.0, 1850.0, 1816.0, 1777.0, 1907.0, 1842.0, 1765.0, 1925.0, 1909.0]","['London : printed for R. Butters; and sold by all booksellers in town and country,', 'London Banner of Truth Trust', 'Edinburgh : printed by John Gray and Gavin Alston, sold at their Printing-house,', '[London : s.n.,', 'London : printed for C. Davis,', '[Bedford] [Cranfield Institute of Technology]', 'Glasgow : Blackie,', '[Liverpool] Caxton Press: printed by Nuttall, Fisher, and Dixon, Liverpool, ... and sold at their warehouse, ... London, and by their booksellers in Dublin, Edinburgh, and the principal towns of the United Kingdom.', 'Glasgow : printed by William Smith. For William Anderson, bookseller in Stirling,', 'London : Truslove & Hanson,', 'Edinburgh : Thornton and Collie,', 'Newcastle upon Tyne : printed by J. White and T. Saint, for L. Davis and C. Reymers, London,', 'London :  Foulis, ', 'Philadelphia : H. Altemus Co.,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'gla', 'eng', 'eng', 'eng']","[nan, 'Bible.', nan, 'Elphinstone family.', nan, 'Minority youth', 'Bible', nan, nan, 'Dog owners', 'United Presbyterian Church (Scotland)', nan, 'Dogs', 'Fleming, Marjorie, 1803-1811.']","['ESTC', 'Facsimile reprint of 1st ed., Edinburgh: Oliphant, 1862', 'ESTC', 'At foot of sheet: Rymer sculpt. Londini.', 'ESTC', nan, nan, 'Plate is dated: May, 1816.', 'ESTC', nan, 'Title from cover.', 'ESTC', nan, nan]",1755.0,1977.0,14,left_only
Hannah Glasse,"['Glasse, Hannah,1708-1770.', 'Glasse, Hannah,1708-1770.', 'Glasse, Hannah,1708-1770.', 'Glasse, Hannah,1708-1770.']","['The art of cookery, made plain and easy; ... To which are added, one hundred and fifty new and useful receipts, and a copious index. By a lady.', 'The art of cookery, made plain and easy; which far exceeds any thing of the kind ever yet published. ... By a lady.', ""The complete confectioner; or, housekeeper's guide: to a simple and speedy method of understanding the whole art of confectionary; the various ways of preserving and candying, ... Also, the art of making artificial fruit, ... To which are added, some bills of fare for desserts for private families. By Mrs. H. Glass, author of The art of cookery, with considerable additions and corrections, by Maria Wilson."", 'The art of cookery, made plain and easy; which far exceeds any thing of the kind yet published. ... To which are added, by way of appendix, one hundred and fifty new and useful receipts, and a copious index. By a lady.']","[1774.0, 1755.0, 1800.0, 1767.0]","['London : printed for W. Strahan, J. and F. Rivington, J. Hinton, Hawes and Co. W. Johnston [and 23 others],', ""London : printed, and sold at Mrs. Ashburn's China-Shop; at the Bluecoat-Boy; at the Prince of Wales's Arms; by W. Innys; J. Hodges; T. Trye; B. Dod; J. Brotherton; and by the booksellers in town and country,"", 'London : printed by J. D. Dewick, and sold by R. Dutton; West and Hughes; and all other booksellers,', 'London : printed for A. Millar, R. Tonson, W. Strahan, T. Caslon, T. Durham, and W. Nicoll,']","['eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan]","['ESTC', 'ESTC', 'ESTC', 'ESTC']",1755.0,1800.0,4,left_only
Richard Mihill,"['Mihill, Richard.']","['A treatise on the various lengths of the days, nights, and twilights, with tables of the latitude and longtitude of the most eminent towns, harbours, ... in the world, ... By Richard Mihill, ...']",[1755.0],"['London : printed by D. Henry and R. Cave, for the author at Richmond, in Surry,']",['eng'],[nan],['ESTC'],1755.0,1755.0,1,left_only
John Cradock,"['Cradock, John,approximately 1708-1778.']","['A sermon preached in the parish church of St. Paul, Covent Garden, on Friday, February 6, 1756, being the day appointed by authority for a general fast. By John Cradock, ...']",[1756.0],"['London : printed for S. Baker; and sold by W. Thurlbourn, T. Merril, and R. Matthews, in Cambridge,']",['eng'],[nan],['ESTC'],1756.0,1756.0,1,left_only
Didier Pierre Chicaneau de Neuville,"['Chicaneau de Neuvillé, Didier Pierre,1720-1781.']","[""Considerations sur les ouvrages d'esprit..""]",[1758.0],"['Amsterdam. : [s.n].,']",['fre'],"['Literature, French,']","['Discusses authors such as Corneille, Rousseau, Voltaire, Milton, Cowley, Dryden and Hume (p. 123-133).']",1758.0,1758.0,1,left_only
George Smith Green,"['Green, George Smith,-1762.']","[""The images of the ancients, particularly those in the University of Oxford. With some reflections on virtue, ancient and modern: a poem. To which is added A very friendly epistle to the author of The critical review; containing a key to the parson's parlour. By a tradesman of Oxford.""]",[1758.0],"['London : printed for J. Scott,']",['eng'],[nan],['ESTC'],1758.0,1758.0,1,left_only
Author of Heilsamer Untericht Isnard,"[""Isnard, Author of 'Heilsamer Untericht'.""]",['Herrn Isnards heilsamer Unterricht wie man Ertrunkenen ... wieder zum Leben verhelfen könne ... Aus dem Französischen ins Deutsche übersetzet ... Welchem man noch beygefüget den im Jahre 1740 ... in ganz Frankreich kund gemachten Bericht wie man die Ertrunkenen wieder erwecken könne.'],[1760.0],"['Strassburg, ']",['ger'],[nan],[nan],1760.0,1760.0,1,left_only
John Murray,"['John Murray (Firm)', 'John Murray (Firm)', 'Murray, John,1898-1975.', 'Murray, John,1986-', 'Murray, John,1855-1911.', 'Murray, John, Fish-Curer in Fraserburgh.', 'John Murray (Firm)', 'John Murray (Firm)', 'Murray, John,-1818.', 'Murray, John,tenant in Fairnyhirst.', 'Murray, John,1786?-1851.']","['Handbook for travellers in France ... With ... maps.', 'A handbook for travellers in Algeria. With map and plan.', 'Collected writings of John Murray, Professor of Systematic Theology, Westminster Theological Seminary, Philadelphia, Pennsylvania, 1937-1966', 'Flash : building the interactive web /', 'Govan rhymes and other poems /', 'The herring brand, considered in relation to its influence on the herring fishery of Scotland.', 'A handbook of Rome and its environs. With ... plans and maps, etc.', 'Handbook for North Germany, from the Baltic to the Black Forest, and the Rhine, from Holland to Basle ... With ... maps and plans.', 'Unto the Right Honourable, the Lords of Council and Session, the petition of John Græme-Murray of Murrayshall, and his tutors and curators, ...', 'Answers for Thomas Pringle of Symington, to the petition of John Murray ...', 'Remarks on the cultivation of the silk worm : with additional observations made in Italy, during the summer of 1825 /']","[1852.0, 1874.0, 1977.0, nan, 1913.0, 1881.0, 1881.0, 1877.0, 1762.0, 1760.0, 1825.0]","['London,', 'London,', 'Edinburgh Banner of Truth Trust,', nan, 'Govan :  printed by John Cossar, ', 'Edinburgh, ', 'London,', 'London,', '[Edinburgh,', '[Edinburgh?,', ""Glasgow : Printed for W.R. M'Phun,""]","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, 'Christianity.', 'Multimedia communications', nan, nan, nan, nan, nan, nan, 'Silkworms']","[nan, nan, nan, 'Flash and you -- Animating the web -- Platform/er programming -- The web arcade -- New media art -- Free and open? -- Flash and the future.', nan, nan, nan, 'The back-title reads: Handbook, Rhine & North Germany.', 'ESTC', 'ESTC', 'Title from cover.']",1760.0,1977.0,11,left_only
Alexander Goldie,"['Goldie, Alexander,-1782.', 'Goldie, Alexander,-1782.']","['Unto the Rt Hon. the Lords of Council and Session. The petition of Alexander Goldie, writer to the Signet, ...', 'Unto the Right Honourable the Lords of Council and Session. The petition and complaint of Alexander Goldie of Southwick, writer to the Signet. ...']","[1766.0, 1761.0]","['[Newcastle upon Tyne,', '[Edinburgh,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1761.0,1766.0,2,left_only
John Dalziel,"['Dalziel, John,of Barncrosh.', 'Dalziel, John,of Barncrosh.']","['Answers for John Dalziel of Barncrosh, Esq; to the petition and complaint of Alexander Goldie of Southwick writer to the Signet.', 'Answers for John Dalziel of Barncrosh, Esq; to the petition and complaint of Alexander Goldie of Southwick writer to the Signet.']","[1761.0, 1761.0]","['[Edinburgh,', '[Edinburgh,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1761.0,1761.0,2,left_only
Joseph Priestley,"['Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.']","['Letters to Dr. Horsley, in answer to his animadversions on the History of the corruptions of Christianity. With additional evidence that the primitive Christian church was Unitarian. By Joseph Priestley, ...', ""Letters to a philosophical unbeliever. Part III. Containing an answer to Mr. Paine's Age of reason. By Joseph Priestley, L.L.D. F.R.S. &c. &c."", ""Letters to a philosophical unbeliever. Part III. Containing an answer to Mr. Paine's Age of reason. By Joseph Priestley, L.L.D. F.R.S. &c. &c."", 'A discourse on occasion of the death of Dr. Price; delivered at Hackney, on Sunday, May 1, 1791. By Joseph Priestley, LL.D. ...', 'The scripture doctrine of remission Which sheweth that the death of Christ is no proper sacrifice nor satisfaction for sin: but that pardon is dispensed solely on account of repentance, or a personal reformation of the sinner.', ""Extracts from Dr. Priestley's works, read in court at the last Warwick Assizes."", 'Letters to a philosophical unbeliever. Part I. Containing an examination of the principal objections to the doctrines of natural religion, and especially those contained in the writings of Mr. Hume. By Joseph Priestley, ...', 'A familiar introduction to the study of electricity. By Joseph Priestley, ...', ""Defences of Unitarianism for the year 1787, containing letters to the Rev. Dr. Geddes, to the Rev. Dr. Price, part II. and to the candidates for orders in the two universities. Part II. Relating to Mr. Howes's appendix ... and several other publications. By Joseph Priestley, ...""]","[1783.0, 1795.0, 1795.0, 1791.0, 1761.0, 1792.0, 1780.0, 1786.0, 1788.0]","['Birmingham : printed by Pearson and Rollason, for J. Johnson, London,', 'Philadelphia : Printed by Thomas Dobson, at the stone-house, no. 41, South Second-Street,', 'Philadelphia : Printed by Thomas Dobson, at the stone-house, no. 41, South Second-Street,', 'London : printed for J. Johnson,', 'London : printed for C. Henderson, R. Griffiths, T. Beckett and P. A. De Hondt,', '[Birmingham] : Printed at Birmingham,', 'Bath : printed by R. Cruttwell; and sold by J. Johnson, London,', 'London : printed for J. Johnson,', 'Birmingham : printed for the author by Pearson and Rollason, and sold by J. Johnson, London,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, 'Hume, David, 1711-1776.', nan, nan]","['ESTC', 'Evans,', 'Evans,', 'ESTC', 'ESTC', 'ESTC', 'Crook', 'ESTC', 'ESTC']",1761.0,1795.0,9,both
Maryaut Torrence,"['Torrence, Mary.aut']","['State of the conjoined processes of removing and reduction, betwixt Marion Hutton, second lawful daughter of Thomas Hutton writer in Hamilton, now spouse to Quintine Hamilton shoe-maker, late baillie of Hamilton, and him for his interest; and John Rive, only lawful son of the deceast John Rive tenementer in Hamilton, and Mary Torrence, relict of the said John Rive, and Gavin Torrence shoemaker in Hamilton his tutors and curators.']",[1761.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],1761.0,1761.0,1,left_only
James Churchill,"['Churchill, James,active 1762.']","['A poem, on the merchants new-beautifying the statue of King Charles the IId. Royal-Exchange. With many historical remarks to George I. By the author of the True Briton.']",[1762.0],"['London : printed for T. Hope,']",['eng'],[nan],['ESTC'],1762.0,1762.0,1,left_only
David Wilson,"['Wilson, David.', 'Wilson, David,-1784.', 'Wilson, David.', 'Wilson, David.']","[""God's builder : a puzzle book about Nehemiah."", ""Palæmon's creed reviewed and examined: wherein several gross and dangerous errors, advanced by the author of the Letters on Theron and Aspasio, are detected and refuted; and the Protestant doctrine concerning the Covenant of works ... vindicated ... In two volumes. By David Wilson. ..."", 'The quango debate /', 'Number : extension.']","[1994.0, 1762.0, 1995.0, 1993.0]","['Fearn : Christian Focus,', 'London : printed for George Keith,', 'Oxford : Oxford University Press in association with the Hansard Society for Parliamentary Government,', 'Cheltenham : Stanley Thornes,']","['eng', 'eng', 'eng', 'eng']","['Bible games and puzzles.', nan, nan, nan]","['Cover title.', 'ESTC', nan, 'Cover title.']",1762.0,1995.0,4,left_only
Philip Carteret Webb,"['Webb, Philip Carteret,1700?-1770.']","['Some observations on the late determination for discharging Mr. Wilkes from his commitment to the Tower of London; for being the author and publisher of a seditious libel, called the North Briton, ... By a member of the House of Commons.']",[1763.0],"['London : sold by A. Millar,']",['eng'],[nan],['ESTC'],1763.0,1763.0,1,left_only
John Free,"['Free, John,1712?-']","[""The voluntary exile; or, the English poet's sermon in verse, written upon divers important subjects, before he embarked for France, ... Part the first. With variety of notes, ...""]",[1765.0],"['London : printed for the family of the author; and sold by J. Almon; J. Warcus, the editor Dr. Free; and by the booksellers of London and Westminster,']",['eng'],[nan],['ESTC'],1765.0,1765.0,1,left_only
M. de SaintFoix,"['Saint-Foix,M. de(Germain-François Poullain),1698-1776.', 'Saint-Foix,M. de(Germain-François Poullain),1698-1776.']","['Daphne and Amintor: a comic opera. In one act. As it is performed at the Theatre-Royal in Drury-Lane. Translated from the French, with some additional songs, by the author of Love in a village.', 'Historical essays upon Paris. Translated from the French of M. de Saintfoix. In three volumes. ...']","[1765.0, 1767.0]","['Dublin : printed for J. Hoey, Sen. J. Exshaw, H. Saunders, J. Hoey, Jun. S. Watson, and J. Williams,', 'London : printed for G. Burnett,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1765.0,1767.0,2,left_only
