author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Corin Child,"['Child, Corin.']",['Telling ourselves in ink : creative writing in the church /'],[2009.0],"['Cambridge : Grove Books,']",['eng'],['Witness bearing (Christianity)'],['Includes bibliographical references.'],,,,left_only
Corinne Randall,"['Randall, Corinne.']",['The eternal soul : a compilation of writings /'],[2009.0],"['Bristol : Intellect,']",['eng'],['Bahai Faith.'],['Contains bibliographical references.'],,,,left_only
CorkDepartment of Sociology University College,"['University College, Cork.Department of Sociology.']",['Women in the writings of Ngugi wa Thiongo /'],[1992.0],"['Cork : Department of Sociology, University College, Cork,']",['eng'],['Feminist criticism.'],['Bibliography'],,,,left_only
Corrine Cash,"['Cash, Corrine.editor.edthttp://id.loc.gov/vocabulary/relators/edt']","['Water, Energy, Food and People Across the Global South [electronic resource] : ‘The Nexus’ in an Era of Climate Change  /']",[nan],[nan],['eng'],"['Energy Policy, Economics and Management.']","['This collection critically engages the resource use nexus. Clearly, a nexus-approach to resource policy, planning and practice is essential if sustainable development goals are to be met. In particular, in an era of climate change, an integrated approach to water, energy and agriculture is imperative. Agriculture accounts for 70% of global water withdrawals, food production accounts for 30% of global energy use and a rising global population requires more of everything.\xa0As shown in this collection, scholars of resource development, governance and management are ‘nexus sensitive’, utilizing a sort of ‘nexus sensibility’ in their work as it focuses on the needs of people particularly, but not only, in the global South. Importantly, a nexus-approach presents academics and practitioners with a discursive space in which to shape policy through research, to deepen and improve understandings of the interconnections and impacts of particular types of resource use, and to critically reflect on actions taken in the name of the ‘nexus’.']",,,,left_only
Council of Europe,"['Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.']","['Measuring cell adhesion /', 'Forum /', 'Forty years : Council of Europe : programme.', 'An environmental strategy for golf in Europe /', 'Regional and local broadcasting in Europe /', 'Alternative measures to imprisonment /', 'Alcohol and crime : study prepared at the request of the Council of Europe /', 'Bibliography of translations of codes and other laws of private law = Bibliographie des traductions des codes et autres droits droit privé /', 'Protocol No. 3 to the European Outline Convention on Transfrontier Co-operation between Territorial Communities or Authorities concerning Euroregional Co-operation Groupings (ECGs) = Protocole N° 3 à la Convention-cadre européenne sur la coopération transfrontalière des collectivités ou autorités territoriales relatif aux Groupements eurorégionaux de coopération (GEC).', 'International classification of patents for invention under the European Convention of 19th December, 1954.']","[1991.0, 1978.0, 1989.0, 1995.0, nan, 1986.0, 1984.0, 1975.0, 2009.0, 1968.0]","['Chichester : Wiley,', 'Strasbourg : Council of Europe,', 'Strasbourg : Council of Europe,', 'Brussels : The Unit,', nan, 'Strasbourg : Council of Europe,', 'Strasbourg : European Committee on Crime Problems,', 'Strasbourg : Council of Europe ; London : Morgan- Grampian,', 'Strasbourg : Council of Europe,', 'West Wickham (Kent) : Published for the Council of Europe by Morgan-Grampian Books Ltd (Kent),']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","['Cell adhesion.', nan, 'European cooperation.', nan, nan, 'Prison sentences.', 'Alcoholism and crime.', 'Civil law', 'European cooperation.', 'Patents']","['Includes bibliographical references and index.', 'Issued also in French, German and Italian.', nan, 'At foot of title: Council of Europe.', 'Includes bibliographic references.', 'Presented to 7th Conference of Directors of Prison Administration', nan, 'Previous ed.: 1967', '""December 2009.""', nan]",,,,left_only
Country Clergyman,['Country Clergyman.'],"['An address to His Grace the Archbishop of Canterbury, as a visitor of colleges in the University of Oxford, and as Primate of all England; the second edition, with a postscript concerning the author ... By a country clergyman.']",[1791.0],"['London : printed for G. G. and J. Robinson, and S. Hazard, Bath,']",['eng'],[nan],['ESTC'],,,,left_only
County Limerick Writers Group,['County Limerick Writers Group.'],['Secrets : a second anthology /'],[1997.0],"['Limerick : County Limerick Writers Group,']",['eng'],"['Short stories, Irish (English)']",[nan],,,,left_only
Creative Editors and Writers Ltd,['Creative Editors and Writers Ltd.'],['Look at Acts'],[1985.0],['Northwood Bible Today'],['eng'],['Bible.'],[nan],,,,left_only
Cristie Leigh March,"['March, Cristie Leigh.']",['Exploring gendered geo-textual space in the contemporary Scottish novel [microform] /'],[1999.0],[nan],['eng'],['Scottish literature'],['Microfiche.'],,,,left_only
Cristin Constantin Vere,"['Vere, Cristin Constantin,editor.']",['Endoscopy : novel techniques and recent advancements /'],[nan],[nan],['eng'],[nan],[nan],,,,left_only
Cristina Ros i Solé,"['Ros i Solé, Cristina.author.authttp://id.loc.gov/vocabulary/relators/aut']",['The Personal World of the Language Learner [electronic resource] /'],[nan],[nan],['eng'],['Language Teaching.'],"['This book presents a radical turn in Second Language Acquisition research by introducing a conceptual paradigm that challenges rationalist, instrumental and empiricist approaches to language learning theory. It argues for a shift in focus from measuring the effectiveness of language learning processes to humanising the language learning experience. This new paradigm explores the force of affect, the imagination and creativity and their roles in assembling language learners’ intimate worlds. ‘The personal’ is reclaimed and acts as driving force for language learning and the sphere in which learners engage both their minds and bodies in a constant socialization of feelings and emotions. The author provides examples from real language learners using a variety of modern languages to provide insights on the kind of personal worlds that languages compel us to inhabit. This book will be of interest to those working with language learning and language education theory, language teachers, and researchers and students who are interested in issues of identity and intercultural communication in language learning. Cristina Ros i Solé is a Visiting Lecturer at King’s College London and the Open University, UK. She is an applied linguist and a language education specialist, and has published extensively in the area of language learning and intercultural communication.']",,,,left_only
Curriculum  Assessment Authority for Wales Qualifications,"['Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.', 'Qualifications, Curriculum & Assessment Authority for Wales.']","['Fractions, decimals and percentages.', 'Ffocws rhifedd.', 'Mathemateg y cwricwlwm cenedlaethol newydd.', 'Addysg gorfforol yn y Cwricwlwm Cenedlaethol yng Nghymru = Physical education in the National Curriculum in Wales.', 'Tân yn y jyngl /', 'English tests : teacher pack /', 'Fractions, decimals and percentages.', 'Byd bale /', 'Potiau mêl /', 'Taith iaith 3 : llyfr cwrs /', 'Wales and the world : the Battle of Mametz Wood, 1916 /']","[2003.0, 2004.0, 1999.0, 2000.0, 2004.0, 1998.0, 2003.0, 2006.0, 2005.0, 2005.0, 2003.0]","['Cardiff : ACCAC,', 'Bodedern : Gwasg Taf,', 'Bodedern : Gwasg Taf,', 'Caerdydd : Awdurdod Cymwysterau, Cwricwlwm ac Asesu Cymru,', 'Aberystwyth : Canolfan Astudiaethau Addysg,', 'London : QCA,', 'Cardiff : ACCAC,', 'Llandysul : Gwasg Gomer,', 'Talybont, Ceredigion : Y Lolfa,', 'Aberystwyth : Canolfan Astudiaethau Addysg,', '[Cardiff?] : Qualifications, Curriculum and Assessment Authority for Wales,']","['eng', 'wel', 'wel', 'wel', 'wel', 'eng', 'eng', 'wel', 'wel', 'wel', 'eng']","[nan, 'Numeracy', 'Mathematics', 'Education', 'Welsh language', nan, nan, 'Ballet dancing', 'Welsh language', 'Welsh language', nan]","['Cover title.', 'Addasiad Cymraeg gan Awdurdod Cymwysterau, Cwricwlwm ac Asesu Cymru = Welsh adaptation by Qualifications, Curriculum and Assessment Authority for Wales.', 'Yn cynnwys mynegai = Includes index.', nan, nan, ""English tests : teacher's guide -- Wild and free -- Story and writer -- Story and writer : reading comprehension booklet -- Car boot sale : spelling booklet."", 'Cover title.', 'Yn cynnwys mynegai = Includes index.', 'Teitl clawr = Cover title.', nan, nan]",,,,left_only
Curriculum and Assessment Authority for Wales,['Curriculum and Assessment Authority for Wales.'],['Handling data.'],[1995.0],"['[Aberystwyth] : Curriculum and Assessment Authority for Wales,']",['eng'],[nan],[nan],,,,left_only
Cynthia Gerstl-Pepin,"['Gerstl-Pepin, Cynthia.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Survival of the Fittest [electronic resource] : The Shifting Contours of Higher Education in China and the United States /'],[nan],[nan],['eng'],['International and Comparative Education.'],"['This book will examine how universities in China and the US are responding to markets and increasing global competition. For both countries, a university education is seen as key to economic development. While China and the US have two very different political systems, they represent the two largest economies in the world and share beliefs that higher education plays an integral role to economic development. The book will bring together scholars with multiple perspectives on the topic to create dialogue around similarities and differences. This book will appeal to students, scholars, and higher educational administrators in both countries and other countries as well who are seeking to understand the strategic change in higher education in both China and the US.']",,,,left_only
Cyril Josse Johnson,"['Johnson, Cyril Jossé,comp.']","['Supplementary catalogue of pewterware, 1979 /']",[1979.0],"['London : Published by authority of the Court of Assistants, Pewterers Hall,']",['eng'],['Pewter'],['Catalog compiled by Cyril Jossé Johnson.'],,,,left_only
D. Brunt,"['Brunt, D.']",['Some problems of modern meteorology. A series of papers by various authors reprinted from the quarterly journal of the Royal Meteorological Society /'],[1934.0],"['London,']",['eng'],[nan],[nan],,,,left_only
D. G. Fabre,"['Fabré, D. G.']",['Beyond the river of the dead. [A journey made by the author and his wife in South America] /'],[1963.0],"['London, ']",['eng'],[nan],[nan],,,,left_only
D. Gary Miller,"['Miller, D. Gary.']",['Language change and linguistic theory /'],[2010.0],"['Oxford : Oxford University Press,']",['eng'],['Linguistic change.'],"['This two volume work examines every aspect of language change and two centuries of linguistic approaches towards understanding it. In its comprehensive approach and great linguistic and historical range, this is a contribution of enduring use and value to historical linguistics and linguistic theory.']",,,,left_only
D. R. Davies,"['Davies, D. R.(Dilwyn Roger),1918-']",['Internal audit in local authorities and hospitals'],[1970.0],['London Shaw & Sons'],['eng'],['Auditing.'],['Previous ed. 1964'],,,,left_only
D.B Gower,"['Gower, D.B.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Steroid Analysis [electronic resource] /'],[nan],[nan],['eng'],['Pharmaceutical Sciences/Technology.'],"['This comprehensive and up-to-date 2nd edition of the Steroid Analysis handbook, written by a team of distinguished experts from around the world concentrates on the analysis of steroids in biological fluids. This edition is based on the same format as the first, primarily dealing with analysis of low levels of steroid analytes in biological fluids, but including an extra chapter on pharmaceutical aspects of steroid analysis. Spectroscopic and other methods, including UV and IR absorption spectroscopy, NMR spectroscopy, mass spectrometry, X-ray diffraction, chromatography and immunoassay of steroids are treated in detail. Discussion of general methods for extraction, purification and quantitation is followed by consideration of the analysis of specific important steroid groups, such as progestagens, estrogens, corticosteroids, vitamins D, bile acids and anabolic steroids and their metabolites. The editors have made a conscious decision to leave the first edition to stand on its own with regards to steroid analysis prior to 1995 and authors therefore were asked to review the modern post-1995 steroid scene, though pre-1995 data were not excluded if authors felt it was necessary. This book should be of interest to analytical chemists, biochemists and chemical pathologists with an interest or involvement in steroids.']",,,,left_only
Dale Ahlquist,"['Ahlquist, Dale.']",['The complete thinker : the marvelous mind of G. K. Chesterton /'],[2012.0],"['San Francisco, Calif. : Ignatius Press,']",['eng'],['Thought and thinking.'],"[""The author weaves together excerpts from G. K. Chesterton's writings on a wide variety of topics to illustrate Chesterton's skill as a 'complete thinker', to synthesize disparate ideas and disciplines into a coherent whole.""]",,,,left_only
Dale Fetherling,"['Fetherling, Dale,1941-2011.']",['The buckets of money retirement solution : the ultimate guide to income for life /'],[2010.0],"['Hoboken, N.J. : Wiley,']",['eng'],"['Finance, Personal.']","['""A proven way to protect your nest egg and financially prepare for retirement Many people head into retirement assuming they will have enough money to live on for the rest of their lives. But when issues such economic disaster come into play, their financial cushion can become so thin that they may have to cut back drastically on their standard of living or go back to work just to survive. Don\'t let this happen to you! It\'s time to discard outdated financial strategies and get new ones. Protect Your Buckets of Money provides you with the tips and tools to adapt to today\'s changing economic landscape and find long-term financial stability. Here, in an easy-to-understand and accessible style, author Raymond Lucia outlines his proven Buckets of Money technique. Outlines a proven approach to protecting your retirement nest egg while growing it in a smart and conservative manner  filled with real life examples and a self-assessment section that helps you evaluate your investing style Details a workable plan for both saving and withdrawal of your money    To win at the retirement game, you need to know your financial goals, divvy up your money accordingly, and then invest intelligently. With this book as your guide, you\'ll learn how to achieve both income and growth, while reducing risk.""--Provided by publisher.']",,,,left_only
Dale L. Walker,"['Walker, Dale L.']","['No mentor but myself a collection of articles, essays, reviews and letters on writing and writers /']",[1979.0],['Port Washington London Kennikat Press'],['eng'],[nan],['Bibliography: p.197'],,,,left_only
Dale Spender,"['Spender, Dale.']",['Mothers of the novel 100 good women writers before Jane Austen'],[1986.0],['London Pandora'],['eng'],['English literature'],['Bibliography: p339-347. - Includes index'],,,,left_only
Dambudzo Marechera,"['Marechera, Dambudzo,1952-1987.']",['House of hunger : short stories /'],[1985.0],"['Oxford : Heinemann,']",['eng'],[nan],['Originally published in the African writers series in 1978.'],,,,left_only
Damian Chalmers,"['Chalmers, Damian.']",['European Union law : text and materials /'],[2006.0],"['Cambridge : Cambridge University Press,']",['eng'],['Law'],"[""European integration and the treaty on European Union -- Constitutionalism and the 'failure' of the constitutional treaty -- The EU institutions -- Community law-making -- Sovereignty and federalism : the authority of EU law and its limits -- Fundamental rights -- Judicial relations in the European Union -- Accountability in the European Union -- The enforcement of European law -- Judicial review : the legal accountability of  the community institutions -- The single market -- Economic and monetary union -- Union citizenship -- EU law and non-EU nationals -- Free movement of goods and the economic constitution -- The pursuit of an occupation in another member state -- Free movement of services -- Financial services -- Trade restrictions and public goods -- Discrimination law -- EC competition law : functions and enforcement -- Restrictive practices -- Abuse of a dominant position -- Merger policy -- State regulation and EC competition law.""]",,,,left_only
Damijan Miklavcic,"['Miklavcic, Damijan.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Handbook of Electroporation [electronic resource] /'],[nan],[nan],['eng'],['Food Microbiology.'],"['This major reference work is a one-shot knowledge base on electroporation and the use of pulsed electric fields of high intensity and their use in biology, medicine, biotechnology, and food and environmental technologies. The Handbook offers a widespread and well-structured compilation of chapters ranging from the foundations to applications in industry and hospital. It is edited and written by most prominent researchers in the field. With regular updates and growing in its volume it is suitable for academic readers and researchers regardless of their disciplinary expertise, and will also be accessible to students and serious general readers. The authors of chapters have established scholarly credentials and come from a wide range of disciplines. This is crucially important in a highly interdisciplinary field of electroporation and the use of pulsed electric fields of high intensity and its applications in different fields from medicine, biology, food processing, agriculture, process engineering, energy and environment. An Editorial Board of distinguished scholars from across the world has selected and reviewed the various chapters to ensure the highest quality of this Handbook. The book was edited by an international team of Section Editors: P. Thomas Vernier, Old Dominion University, Norfolk, USA Boris Rubinsky, University of California, Berkeley, USA Juergen F. Kolb Leibniz Institute for Plasma Science and Technology, Greifswald, Germany Damijan Miklavcic, University of Ljubljana, Slovenia Marie-Pierre Rols, IPBS CNRS, Toulouse, France Javier Raso, University of Zaragoza, Spain Richard Heller, Old Dominion University, Norfolk, USA Gregor Serša, Institute of Oncology Ljubljana, Slovenia Dietrich Knorr, Technische Universität Berlin, Germany Eugene Vorobiev Université de Technologie de Compiègne, France.']",,,,left_only
Dan J. McNutt,"['McNutt, Dan J.']",['The eighteenth-century Gothic novel : an annotated bibliography of criticism and selected texts /'],[1975.0],"['New York ; London : Garland Pub.,']",['eng'],['Gothic revival (Literature)'],['Includes index.'],,,,left_only
Dan Wei,"['Wei, Dan.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Micromagnetics and Recording Materials [electronic resource] /'],[nan],[nan],['eng'],['Electrical Engineering.'],"['""Micromagnetics and Recording Materials"" is a book trying to give a systematic theory of computational applied magnetism, based on Maxwell equations of fields and Landau-Lifshitz equations of magnetic moments. The focused magnetic materials are magnetic recording materials utilized in computer hard disk drives. Traditionally, “Micromagnetics” includes the areas of ""magnetization curve theory"", “domain theory"" and “read and write process analyses in recording systems”. As Springer Briefs, this book includes the first two areas of micromagnetics. M-H loops of hard magnetic thin film media, soft magnetic layers and Tunneling MagnetoResistive spin valves are solved based on the microstructures of thin films. Static domain structures and dynamic switching processes are analyzed in the arbitrary-shaped magnetic devices such as write head pole tips and magnetic force microscope tips. The book is intended for researchers who are interested in applied magnetism and magnetic recording in all disciples of physical science.']",,,,left_only
Daniel Defoe,"['Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731,attributed name.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731,attributed name.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731,', 'Defoe, Daniel,1661?-1731,attributed name.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731.', 'Defoe, Daniel,1661?-1731,', 'Defoe, Daniel,1661?-1731,', 'Defoe, Daniel,1661?-1731.']","['Memoirs of some transactions during the late ministry of Robert E. of Oxford.', ""The visions of Sir Heister Ryley: recommended to the town upon Captain Steel's, late author of the Tatler, having nothing more to say to the world, under the character of Isaac Bickerstaff."", 'The history of the remarkable life of John Sheppard, containing a particular account of his many robberies and escapes, ... The whole taken from the most authentick accounts, ... and from the confession of Sheppard ...', 'Memoirs of a cavalier; or, a military journal of the wars in Germany and the wars in England /', ""Roxana, or The fortunate mistress : a history of the life and vast variety of fortunes of Mademoiselle de Beleau, afterwards call'd the Countess de Wintselsheim, in Germany. Being the person known by the name of the Lady Roxana in the time of Charles II /"", 'The life and adventures of Robinson Crusoe /', 'An essay on the regulation of the press', 'The history and lives of all the most notorious pirates and their crews ... from Captain John Avery, who first settled at Madagascar, to Captain John Gow, ...', 'The farther adventures of Robinson Crusoe; being the second and last part of his life, and of the strange surprizing accounts of his travels round three parts of the globe. Written by himself. To which is added a map ...', 'A friendly epistle by way of reproof from one of the people called Quakers, to Thomas Bradbury, a dealer in many words [electronic resource].', 'The Banb---y apes: or, the monkeys chattering to the magpye. In a letter to a friend in London.', 'The history of the civil wars in Germany, from the year 1630 to 1635: also, genuine memoirs of the wars of England, in the unhappy reign of Charles the First; ... Written by a Shropshire gentleman, ...', ""A hymn to peace. Occasion'd, by the two Houses joining in one address to the Queen. By the author of The true-born English-man."", 'Secret memoirs of a treasonable conference at S..... House, for deposing the present ministry, and making a new turn at court.', 'A hymn to victory.', 'An essay at removing national prejudices against a union with Scotland. : To be continued during the Treaty here. Part I..', 'Secret memoirs of a treasonable conference at S..... House, for deposing the present ministry, and making a new turn at court.', 'The life and most surprizing adventures of Robinson Crusoe, of York, mariner; who lived eight-and-twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. ... Complete in one volume.', 'The life and strange surprising adventures of Robinson Crusoe /', 'A Discourse concerning the Union.', 'Considerations on publick credit. In a letter to a Member of Parliament.', ""A letter to Andrew Snape, occasion'd by the strife that lately appeared among the people called, clergy-men. By the author of the Declaration of truth."", 'Some objections humbly offered to the consideration of the Hon. House of Commons, relating to the present intended relief of prisoners.', 'Tour through the Eastern countries of England, 1722.', 'A justification of the Dutch from several late scandalous reflections: in which is shown the absolute necessity of preserving a strict and inviolable friendship betwixt Great-Britain and the States-General: ...', 'A reply to a traiterous libel, entituled, English advice to the freeholders of Great Britain.', 'A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre-Royal, Drury-Lane. (Taken from the original story.)']","[1717.0, 1711.0, 1724.0, 1908.0, 1998.0, 1862.0, 1704.0, 1788.0, 1719.0, 1715.0, 1710.0, 1782.0, 1706.0, 1717.0, 1704.0, 1706.0, 1717.0, 1785.0, 1865.0, 1706.0, 1724.0, 1717.0, 1729.0, 1888.0, 1712.0, 1715.0, 1781.0]","['London : printed for T. Warner,', '[London,', 'London : printed and sold by John Applebee, J Isted, and the booksellers of London and Westminster,', 'London & New York, ', 'London : Dent,', 'London,', 'London, [s.n.]', 'Glasgow : printed by Robert Duncan,', 'London : printed for W. Taylor,', 'London : printed and sold by S. Keimer,', 'London : printed, and are to be sold by R. Mawson,', 'Newark : printed by James Tomlinson, for the publisher, in,', 'London : printed for John Nutt,', 'London : printed for J. More,', 'London : printed for J. Nutt,', 'London : [s.n.],', 'London : printed for J. More,', 'Chester : printed by J. Fletcher, for T. Craig, in Nantwich,', 'London,', '[Edinburgh? : s.n.,', 'London : printed for J. Roberts,', 'London : printed for T. Warner,', 'London : printed for R. Walker, E. Nutt, and sold by the booksellers of London and Westminster,', 'London,', 'London : printed for J. Baker,', 'London : printed for J. Baker,', 'London : printed for T. Becket,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, 'Women', nan, 'Freedom of the press.', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","['Moore,', 'ESTC', 'Moore,', nan, 'Includes bibliographical references.', nan, 'Anonymous author: Daniel Defoe', 'Moore,', 'Moore,', 'ESTC', 'Moore,', 'Moore,', 'ESTC', 'Moore,', 'Moore,', 'Microfilm.', 'Moore 354', 'ESTC', nan, 'ESTC', 'Moore,', 'Moore,', 'Moore,', nan, ""Moore 226, Goldsmiths' 4953"", ""Goldsmiths' 5264"", 'ESTC']",,,,left_only
Daniel Wallace,"['Wallace, Daniel,1959-']",['Big fish : a novel of mythic proportions /'],[1998.0],"['Chapel Hill, N.C. : Algonquin Books of Chapel Hill,']",['eng'],[nan],['BNA'],,,,left_only
Daniel Wilson,"['Wilson, Daniel.']","['The apostolical commission considered, with reference to the authority of the clergy of the Church of England extracted from a sermon']",[1835.0],['London Rivington'],['eng'],"['Sermons, English.']",['With the crest of the S.P.C.K. on the titlepage. - No.494 of an unnamed series'],,,,left_only
Daniel Churchill,"['Churchill, Daniel.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Digital Resources for Learning [electronic resource] /'],[nan],[nan],['eng'],['Technology and Digital Education.'],"['This book addresses the theory and practice of using digital resources for contemporary learning, and how such resources can be designed, developed, and employed in a variety of learning activities and with various devices. Drawing on insights into learning theory, educational research and the practical design of digital resources for learning that the author has gained over the past 20 years, the book provides the first classification guide to digital resources for learning and links various types of digital resources for learning to both contemporary curriculum design and learning design models.']",,,,left_only
Danny Kennedy,"['Kennedy, Danny.']",['Dennis Cooper : writing at the edge /'],[2012.0],"['Eastbourne : Sussex Academic Press,']",['eng'],"['Cooper, Dennis, 1953-']",['Includes bibliographical references and index.'],,,,left_only
Darko Žubrinić,"['Žubrinić, Darko.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Fractal zeta functions and fractal drums [electronic resource] : higher-dimensional theory of complex dimensions /'],[nan],[nan],['eng'],['Mathematical Physics.'],"['This monograph gives a state-of-the-art and accessible treatment of a new general higher-dimensional theory of complex dimensions, valid for arbitrary bounded subsets of Euclidean spaces, as well as for their natural generalization, relative fractal drums. It provides a significant extension of the existing theory of zeta functions for fractal strings to fractal sets and arbitrary bounded sets in Euclidean spaces of any dimension. Two new classes of fractal zeta functions are introduced, namely, the distance and tube zeta functions of bounded sets, and their key properties are investigated. The theory is developed step-by-step at a slow pace, and every step is well motivated by numerous examples, historical remarks and comments, relating the objects under investigation to other concepts. Special emphasis is placed on the study of complex dimensions of bounded sets and their connections with the notions of Minkowski content and Minkowski measurability, as well as on fractal tube formulas. It is shown for the first time that essential singularities of fractal zeta functions can naturally emerge for various classes of fractal sets and have a significant geometric effect. The theory developed in this book leads naturally to a new definition of fractality, expressed in terms of the existence of underlying geometric oscillations or, equivalently, in terms of the existence of nonreal complex dimensions. The connections to previous extensive work of the first author and his collaborators on geometric zeta functions of fractal strings are clearly explained. Many concepts are discussed for the first time, making the book a rich source of new thoughts and ideas to be developed further. The book contains a large number of open problems and describes many possible directions for further research. The beginning chapters may be used as a part of a course on fractal geometry. The primary readership is aimed at graduate students and researchers working in Fractal Geometry and other related fields, such as Complex Analysis, Dynamical Systems, Geometric Measure Theory, Harmonic Analysis, Mathematical Physics, Analytic Number Theory and the Spectral Theory of Elliptic Differential Operators. The book should be accessible to nonexperts and newcomers to the field.']",,,,left_only
Darryl Hocking,"['Hocking, Darryl.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Communicating Creativity [electronic resource] : The Discursive Facilitation of Creative Activity in Arts /'],[nan],[nan],['eng'],['Arts.'],"['This book provides an extensive and original analysis of the way that written and spoken communication facilitates creative practice in the university art and design studio. Challenging the established view of creativity as a personal attribute which can be objectively measured, the author demonstrates instead that creativity and creative practice are constructed through a complex array of intersecting discourses, each shaped by wider socio-historical contexts, beliefs and values. The author draws upon a range of methods and resources to capture this dynamic complexity from corpus linguistics to ethnography and multimodal analysis. This innovative volume will appeal to students and scholars of discourse analysis, creativity, and applied linguistics. It will also appeal to art and design educators.']",,,,left_only
D Higgins,"['Higgins, D.author.authttp://id.loc.gov/vocabulary/relators/aut']","['Romantic Englishness [electronic resource] : Local, National and Global Selves, 1780-1850 /']",[nan],[nan],['eng'],['British and Irish Literature.'],"['Romantic Englishness investigates how narratives of localised selfhood in English Romantic writing are produced in relation to national and transnational formations. This book focuses on autobiographical texts by authors such as John Clare, Samuel Taylor Coleridge, William Hazlitt, Charles Lamb, and William Wordsworth.']",,,,left_only
D Worden,"['Worden, D.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Masculine Style [electronic resource] : The American West and Literary Modernism /'],[nan],[nan],['eng'],['Cultural Studies.'],"[""This book argues for the importance of 'cowboy masculinity,' from late nineteenth-century dime novels, to the writings of Willa Cather, Ernest Hemingway, Theodore Roosevelt, John Steinbeck, and Owen Wister, and analyzes the democratic politics of masculinity in American literature and positions the American West as central to modernism.""]",,,,left_only
David A. Briscoe,"['Briscoe, David A.(David Anthony),1947-']",['Introduction to conservation genetics /'],[2010.0],"['Cambridge ; New York : Cambridge University Press,']",['eng'],['Germplasm resources.'],"['""This impressive author team brings the wealth of advances in conservation genetics into the new edition of this introductory text, including new chapters on Population Genomics and Genetic Issues in Introduced and Invasive Species. They continue the strong learning features for students - main points in the margin, chapter summaries, vital support with the mathematics, and further reading - and now guide the reader to software and databases. Many new references reflect the expansion of this field. With examples from mammals, birds, reptiles, fish, amphibians, plants and invertebrates, this is an ideal introduction to conservation genetics for a broad audience. The text tackles the quantitative aspects of conservation genetics, and has a host of pedagogy to support students learning the numerical side of the subject. Combined with being up-to-date, its user-friendly writing style and a first-class illustration programme, this forms a robust teaching package."" --NHBS Environment Bookstore.']",,,,left_only
