author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency
E. S. Elliott,"['Elliott, E. S.']", "['Lady Grey of Silverdon or joint-service.']", [1891.0],"['London, ']",['eng'],[nan],[nan],1891.0,1891.0,1
Ebba Haslund,"['Haslund, Ebba,1917-']", "['Kvinner, fins de?']", [1980.0],[nan],['   '],[nan],[nan],1980.0,1980.0,1
Ed McBain,"['McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.']", '[\'He who hesitates : a novel of the 87th precinct /\', \'Lady, lady, I did it! an 87th precinct mystery\', "Let\'s hear it for the deaf man /", \'Axe : an 87th Precinct mystery /\', \'Snow white and rose red\', \'Another part of the city /\']', "[1979.0, 1980.0, 1984.0, 1968.0, 1985.0, 1989.0]","['London : Coronet,', 'London Severn House [Distributed by Hutchinson]', 'London : Mandarin,', 'Harmondsworth : Penguin,', 'London Hamilton', 'Bath : Chivers,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'English fiction.', nan, nan, nan, nan]","['Originally published: London : Hamish Hamilton, 1965.', 'Originally published : New York : Simon and Schuster, 1961; London : Boardman, 1963', nan, "Originally published in Britain (B64-21805) H.Hamilton, 1964. Originally published as 'Ax' Simon & Schuster, 1964", nan, nan]",1968.0,1989.0,6
Edith Wharton,"['Wharton, Edith,1862-1937.', 'Wharton, Edith,1862-1937.', 'Wharton, Edith,1862-1937.', 'Wharton, Edith,1862-1937.Glimpses of the Moon.']", '[\'The custom of the country /\', \'A backward glance\', "The mother\'s recompense.", \'Glimpses of the moon : a jazz age musical /\']', "[1954.0, 1972.0, 1925.0, 2011.0]","['London : Virago,', 'London Constable', 'New York & London, ', 'New York : Samuel French,']","['eng', 'eng', 'eng', 'eng']","[nan, 'Authors', nan, 'Musicals']","['Originally published: [London]: Macmillan, 1913', 'Includes index', nan, '"#29718"--T.p. verso.']",1925.0,2011.0,4
Edmund Selous,"['Selous, Edmund.']", "['The wonders of the insect world.']", [1911.0],"['London, ']",['eng'],[nan],[nan],1911.0,1911.0,1
Edmund Sharpe,"['Sharpe, Edmund.']", "['A letter on branch railways ...']", [1857.0],"['London, ']",['eng'],[nan],[nan],1857.0,1857.0,1
Edmund Spenser,"['Spenser, Edmund,1552?-1599.', 'Spenser, Edmund,1552?-1599.']", "['The adventures of the six princesses of Babylon, in their travels to the temple of virtue: an allegory. Dedicated, by permission, to Her Royal Highness the Princess Mary.', 'Prince Arthur: an allegorical romance. The story from Spenser. In two volumes. ...']", "[1785.0, 1779.0]","["London : printed for the author, by T. Bensley; and sold by J. Buckland J. Pridden; and by the author at A. Perfelia's,", 'London : printed for G. Riley; and sold by F. Newbery,']","['eng', 'eng']","[nan, nan]","['ESTC', 'Roscoe A428']",1779.0,1785.0,2
Edmund Wilson,"['Wilson, Edmund,1895-1972.', 'Wilson, Edmund,1895-1972.']", "['Europe without Baedeker: sketches, among the ruins of Italy, Greece & England. Together with notes from a European diary 1963-64.', 'The Dead Sea scrolls, 1947-1969']", "[1967.0, 1971.0]","['London,', 'London Collins']","['eng', 'eng']","[nan, 'Dead Sea scrolls.']","[nan, "Revised and expanded version originally published, London: W.H. Allen, 1969. Originally published as 'The scrolls from the Dead Sea'. New York: Oxford University Press; London: W.H. Allen, 1955"]",1967.0,1971.0,2
Edmund Yates,"['Yates, Edmund.']", "['Gathered leaves; being a collection of poetical writings of the late Frank E. Smedley / ']", [1865.0],"['London, ']",['eng'],[nan],[nan],1865.0,1865.0,1
Edward Allworthy Armstrong,"['Armstrong, Edward Allworthy.', 'Armstrong, Edward Allworthy.']", "['The folklore of birds: an enquiry into the origin & distribution of some magico-religious traditions. With ... photographs [and] ... illustrations in the text.', 'Birds of the grey wind /']", "[1958.0, 1944.0]","['London, ', 'London : Lindsay Drummond,']","['eng', 'eng']","[nan, 'Birds']","['[With a bibliography.]', 'Includes index.']",1944.0,1958.0,2
Edward Bunker,"['Bunker, Edward,1933-']", "['Dog eat dog /']", [2000.0],"['Harpenden : No Exit,']",['eng'],['Robbery'],['Originally published: 1997.'],2000.0,2000.0,1
Edward Carpenter,"['Carpenter, Edward,1844-1929.', 'Carpenter, Edward,1844-1929.']", '["Love\'s coming-of-age.", \'Non-Governmental Society. [Chapter 6 of "Prisons, police and punishment".]\']', "[1923.0, 1911.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, 'Earlier edition has title: Prisons, police and punishment.']",1911.0,1923.0,2
Edward Shenton,"['Shenton, Edward,Author and Illustrator.']", "['The rib and Adam /']", [1960.0],"['London, ']",['eng'],[nan],[nan],1960.0,1960.0,1
Egerton Ryerson,"['Ryerson, Egerton,1803-1882.']", '[\'The Hon. R.B. Sullivan\\\'s attacks upon Sir Charles Metcalfe, refuted by Egerton Ryerson [microform] : being a reply to the letters of "Legion".\']', [1844.0],"['Toronto : Printed at the office of the British colonist,']",['eng'],"['Metcalfe, Charles Theophilus Metcalfe, Baron, 1785-1846.']",['Microfiche.'],1844.0,1844.0,1
Elia Kazan,"['Kazan, Elia.']", "['The understudy /']", [1976.0],['[London] Fontana'],['eng'],[nan],"['Originally published: New York : Stein and Day ; London : Collins, 1975']",1976.0,1976.0,1
Elihu Burritt,"['Burritt, Elihu.']", "['A journal of a visit of three days to Skibbereen, and its neighbourhood.']", [1847.0],"['London, ']",['eng'],[nan],[nan],1847.0,1847.0,1
Elsie Fogerty,"['Fogerty, Elsie.', 'Fogerty, Elsie.']", "['Stammering.', 'The harrying of the dove.']", "[1930.0, 1916.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1916.0,1930.0,2
Emanuel Swedenborg,"['Swedenborg, Emanuel, formerly Swedberg.', 'Swedenborg, Emanuel, formerly Swedberg.', 'Swedenborg, Emanuel,1688-1772.', 'Swedenborg, Emanuel, formerly Swedberg.']", "['The doctrine of faith of the new Jerusalem.', 'Arcana coelestia; or, Heavenly mysteries, contained in the sacred Scriptures or Word of the Lord, manifested and laid open ... [Gen. & Exod.] ... translated from the original Latin.', 'The wisdom of angels, concerning divine love and divine wisdom Translated from the original Latin of the Hon. Emanuel Swedenborg.', 'The new Jerusalem and its heavenly doctrine: and the doctrine of charity.']", "[1842.0, 1858.0, 1788.0, 1887.0]","['London, ', 'London, ', 'London : printed and sold by W. Chalklen,', 'London, ']","['eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan]","['Bd. with Swedenborg\'s "Earths in our solar system".', 'Item records and volume number generated programmatically as part of an external digitisation project', 'Hyde 2039', nan]",1788.0,1887.0,4
Emily Bronte,"['Brontë, Emily,1818-1848.', 'Brontë, Emily,1818-1848.']", "['Poems /', 'Wuthering Heights']", "[1996.0, 1977.0]","['London : Fount,', 'Maidenhead Purnell']","['eng', 'eng']","[nan, 'English fiction.']","[nan, 'This ed. originally published: London : Bancroft, 1967']",1977.0,1996.0,2
Emily Marion Harris,"['Harris, Emily Marion.']", "['Friends only.']", [1879.0],"['London,']",['eng'],[nan],[nan],1879.0,1879.0,1
Enid Blyton,"['Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid,author.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid,author.', 'Blyton, Enid,author.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.', 'Blyton, Enid.']", '[\'The mystery of Tally-Ho cottage /\', \'The wishing-chair again /\', \'nan\', \'The wishing jug : and other stories /\', \'At Apple-Tree Farm /\', "The children\'s book of prayers /", "Five go to Demon\'s Rocks /", \'Five on a secret trail /\', \'Enid Blyton New Testament picture books /\', "Run-about\'s holiday /", \'The mystery of the missing necklace ... /\', \'You funny little Noddy\', \'The mystery of the burnt cottage /\', \'Fun for the secret seven /\', \'Six cousins at Mistletoe Farm /\', \'Mr Plod and the footprints.\', \'Five have plenty of fun /\', \'The six bad boys.\', \'The children of Cherry-Tree Farm /\', "Enid Blyton\'s Billy-Bob tales", "Enid Blyton\'s Upper Fourth at Malory Towers", "Don\'t be silly, Mr. Twiddle! /", \'The Enid Blyton Bible pictures, Old Testament. Reference book to Old Testament Bible plates.\', \'Now for a story /\', \'nan\', \'nan\', "Enid Blyton\'s Noddy and his friends.", "Enid Blyton\'s fireside tales", "Enid Blyton\'s First term at Malory Towers", \'Five fall into adventure ; Five on a hike together /\']', "[1978.0, 1950.0, 2006.0, 1944.0, 1953.0, 1961.0, 1956.0, 1957.0, 1955.0, 1947.0, 1976.0, 1973.0, 1963.0, 1948.0, 1998.0, 2001.0, 2010.0, 1979.0, 1964.0, 1990.0, 2014.0, 1949.0, 1948.0, 1993.0, 1972.0, 1990.0, 1979.0]","['London : Egmont,', 'London, ', nan, 'Worksop : Award,', 'Leicester, ', 'London, ', 'London, ', 'London, ', 'London, ', 'London, ', 'London, ', 'London Sampson Low, Marston Richards Press Ltd [Maidenhead] [Distributed by Purnell]', 'London : Egmont,', 'Leicester, ', 'London, ', 'London : Collins,', "London : Hodder Children's,", 'Award Publications Limited,', 'London Beaver Books', "London : Dean in association with Methuen Children's,", "Methuen Children's", 'London : Bounty books,', 'London, ', 'Newcastle upon Tyne, ', nan, nan, 'London : BBC Books,', 'Purnell', "Methuen Children's", 'Sevenoaks : Knight Books,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'und', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, "Children's stories.", nan, nan, nan, nan, 'Americans', nan, "Children's stories.", nan, nan, 'English fiction.', nan, nan, nan, nan, nan, nan, nan, nan]","['Originally published: London: Methuen, 1954.', nan, 'Originally published: London : Methuen & Co. Ltd., 1945.', 'Originally published: 1996.', nan, nan, nan, nan, 'Books 1 and 2 contain reduced reproductions of the large plates in the series of Enid Blyton Bible pictures, New Testament.', nan, nan, 'ISBN 0-361-03424-5 Pbk : £0.35', 'Originally published: London : Methuen, 1943.', nan, nan, 'Based on characters created by Enid Blyton.', 'Originally published: London : Hodder & Stoughton, 1954.', 'Originally published: Lutterworth Press, 1951.', 'Originally published: London : Country Life, 1940', nan, nan, nan, nan, nan, 'Originally published: London : Methuen & Co. Ltd., 1942.', "The secret of the lost necklace -- Mischief at St Rollo's -- The children of Kidillin.", nan, nan, nan, nan]",1944.0,2014.0,27
Eric Alterman,"['Alterman, Eric.']", "['What liberal media? : the truth about bias and the news /']", [2003.0],"['New York : Basic Books,']",['eng'],['Journalistic ethics.'],['Includes bibliographical references and index.'],2003.0,2003.0,1
Eric Bentley,"['Bentley, Eric,1916-']", "['The Brecht memoir']", [1987.0],['Manchester Carcanet'],['eng'],"['Authors, German']",['Includes index'],1987.0,1987.0,1
Eric Kripke,"['Kripke, Eric.']", "['Supernatural : the official companion, season 7 /']", [2012.0],"['London : Titan Books,']",['eng'],['Supernatural (Television program : 2005- )'],"['"Supernatural created by Eric Kripke."']",2012.0,2012.0,1
Erin M. Evans,"['Evans, Erin M.']", "['The best of the realms.']", [2007.0],"['Renton : Wizards of the Coast,']",['eng'],['Forgotten realms (Imaginary place)'],[nan],2007.0,2007.0,1
Esteban Montejo,"['Montejo, Estebán.']", "['Der Cimarrón die Lebensgeschichte eines entflohenen Negersklaven aus Cuba, von ihm selbst erzählt /']", [1976.0],[nan],['und'],[nan],[nan],1976.0,1976.0,1
Ethel Mannin,"['Mannin, Ethel,1900-1984.', 'Mannin, Ethel,1900-1984.', 'Mannin, Ethel,1900-1984.', 'Mannin, Ethel,1900-1984.', 'Mannin, Ethel,1900-1984.']", "['Common-sense and the child. A plea for freedom /', 'Cactus.', 'Dryad.', 'Mission to Beirut', 'Ann and Peter in Japan /']", "[1931.0, 1944.0, 1933.0, 1973.0, 1960.0]","['London, ', 'London, ', 'London, ', 'London Hutchinson', 'London, ']","['eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",1931.0,1973.0,5
Fanfrolico Press,['Fanfrolico Press.'], "['Fanfrolicana. June, 1928. Being a statement of the aims of the Fanfrolico Press, both typographical and aesthetic, with a complete bibliography and specimen passages and illustrations from the books.']", [1928.0],"['London, ']",['eng'],[nan],[nan],1928.0,1928.0,1
Fannie Flagg,"['Flagg, Fannie.']", "['Daisy Fay and the miracle man /']", [1987.0],"['London : Vintage,']",['eng'],[nan],[nan],1987.0,1987.0,1
Fanny Howe,"['Howe, Fanny.', 'Howe, Fanny.']", "['Nod /', 'Gone : poems /']", "[1998.0, 2003.0]","['Los Angeles : Sun & Moon Press,', 'Berkeley, Calif. ; London : University of California Press,']","['eng', 'eng']","['Sibling rivalry', nan]","[nan, nan]",1998.0,2003.0,2
Fay Weldon,"['Weldon, Fay.']", "['Sacred cows /']", [1989.0],"['London : Chatto & Windus,']",['eng'],[nan],[nan],1989.0,1989.0,1
Fiona Kidman,"['Kidman, Fiona,1940-']", "['Mandarin summer : a novel /']", [1991.0],['Bath Chivers'],['eng'],[nan],[nan],1991.0,1991.0,1
Florence Taylor,"['Taylor, Florence.']", "['The nurses dictionary ...']", [1951.0],"['London,']",['eng'],[nan],[nan],1951.0,1951.0,1
Florence Warden,"['Warden, Florence,1857-1929.']", "['The socialism of Lady Jim.']", [1908.0],"['London,']",['eng'],[nan],[nan],1908.0,1908.0,1
Frances Amelia Yates,"['Yates, Frances Amelia.']", "['Frances A Yates 1899-1981']", [1982.0],['London Warburg Institute'],['eng'],"['Yates, Frances Amelia']",['Limited ed. of 400 copies'],1982.0,1982.0,1
Frances Julia Wedgwood,"['Wedgwood, Frances Julia.']", "['The message of Israel in the light of modern criticism. [An account of recent criticism of the Old Testament.]']", [1894.0],"['London, ']",['eng'],[nan],[nan],1894.0,1894.0,1
Frances Marion,"['Marion, Frances.']", "['Minnie Flynn: the story of a film star.']", [1926.0],"['London, ']",['eng'],[nan],[nan],1926.0,1926.0,1
Frances Sherwood,"['Sherwood, Frances,1940-']", "['Green /']", [1996.0],"['London : Abacus,']",['eng'],[nan],"['Originally published: N.Y. : Farrar, Straus, Giroux, 1995.']",1996.0,1996.0,1
Francesco Petrarca,"['Petrarca, Francesco,1304-1374.']", "['I territori del petrarchismo : frontiere e sconfinamenti /']", [2005.0],"['Roma : Bulzoni,']",['ita'],['Italian literature'],['Includes bibliographical references and index.'],2005.0,2005.0,1
Francoise Sagan,"['Sagan, Françoise,1935-2004.']", "['Le miroir égaré /']", [1996.0],"['[Paris] : Plon,']",['fre'],[nan],[nan],1996.0,1996.0,1
Frank Cowper,"['Cowper, Frank.', 'Cowper, Frank.']", "['The hunting of the Auk. [With plates.]', 'Practical boat building for amateurs: containing full instructions for designing and building punts, skiffs, canoes, sailing boats, etc.']", "[1895.0, 1922.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1895.0,1922.0,2
Frank H. Netter,"['Netter, Frank H.(Frank Henry),1906-', 'Netter, Frank H.(Frank Henry),1906-1991.', 'Netter, Frank H.(Frank Henry),1906-1991,illustrator.']", '[\'Atlas of human anatomy /\', "Netter\'s introduction to imaging /", \'nan\']', "[1997.0, 2012.0]","['East Hanover, N.J. : Navartis,', 'St. Louis, Mo. : Elsevier Saunders,', nan]","['eng', 'eng', 'eng']","['Human anatomy', 'Diagnostic imaging.', 'Pharmacology']","['Includes index.', 'Includes bibliographical references and index.', 'Includes index.']",1997.0,2012.0,2
Frank Howard Buck,"['Buck, Frank Howard.']", "['Animals are like that! etc. [With plates.]']", [1941.0],"['London, ']",['eng'],[nan],[nan],1941.0,1941.0,1
Franz Kafka,"['Kafka, Franz,1883-1924.Amerika.', 'Kafka, Franz,1883-1924.Trial.']", "['Der Verschollene /', 'The trial /']", "[1983.0, 1993.0]","['Frankfurt am Main Fischer', 'London : Faber,']","['ger', 'eng']","[nan, nan]","['Vol. 1. Textband -- v.2. Apparatband', '12 men, 3 women']",1983.0,1993.0,2
Frederik Pohl,"['Pohl, Frederik.', 'Pohl, Frederik.', 'Pohl, Frederik.']", "['Slave ship.', 'Gateway /', 'Gateway']", "[1960.0, 1987.0, 1977.0]","['London, ', 'London : Millennium,', 'London Gollancz']","['eng', 'eng', 'eng']","[nan, nan, 'English fiction.']","[nan, nan, nan]",1960.0,1987.0,3
Fridtjof Nansen,"['Nansen, Fridtjof,1861-1930.', 'Nansen, Fridtjof,1861-1930.', 'Nansen, Fridtjof,1861-1930.', 'Nansen, Fridtjof,1861-1930.']", "['The first crossing of Greenland /', 'Fram over Polhavet. Den norske Polarfaerd 1893-1896 /', 'Towards the North Pole. [With illustrations, including portraits.]', 'The Norwegian North Polar Expedition, 1893-1896. Scientific results /']", "[2002.0, 1897.0, 1893.0, 1903.0]","['Edinburgh : Birlinn,', 'Kristiania,', '[London,', 'London,']","['eng', 'nor', 'eng', 'eng']","['Nansen, Fridtjof, 1861-1930', nan, nan, nan]","['Includes index.', nan, 'Pp. [614]-624 of The Strand Magazine, vol. 6, no. 36.', nan]",1893.0,2002.0,4
Friederike Mayrocker,"['Mayröcker, Friederike,1924-']", "['Mein Herz mein Zimmer mein Name /']", [1988.0],"['Frankfurt am Main : Suhrkamp,']",['ger'],[nan],[nan],1988.0,1988.0,1
Fyodor Dostoyevsky,"['Dostoyevsky, Fyodor,1821-1881.', 'Dostoyevsky, Fyodor,1821-1881.']", "['Crime & punishment : a novel in six parts and an epilogue /', 'The letters of Dostoyevsky [Dostoieffsky] to his wife /']", "[1973.0, 1930.0]","['London : Oxford University Press,', 'London,']","['eng', 'eng']","[nan, nan]","[nan, nan]",1930.0,1973.0,2
G. K. Chesterton,"['Chesterton, G. K.(Gilbert Keith),1874-1936.', 'Chesterton, G. K.(Gilbert Keith),1874-1936.', 'Chesterton, G. K.(Gilbert Keith),1874-1936.', 'Chesterton, G. K.(Gilbert Keith),1874-1936.', 'Chesterton, G. K.(Gilbert Keith),1874-1936,author.', 'Chesterton, G. K.(Gilbert Keith),1874-1936,author.', 'Chesterton, G. K.(Gilbert Keith),1874-1936.', 'Chesterton, G. K.(Gilbert Keith),1874-1936.', 'Chesterton, G. K.(Gilbert Keith),1874-1936.', 'Chesterton, G. K.(Gilbert Keith),1874-1936.', 'Chesterton, G. K.(Gilbert Keith),1874-1936.']", '[\'Manalive.\', \'The man who was Thursday a nightmare\', \'The incredulity of Father Brown /\', \'The innocence of Father Brown /\', \'nan\', \'nan\', \'The flying inn.\', \'The Napoleon of Notting Hill /\', \'The Napoleon of Notting Hill /\', "What\'s wrong with the world.", \'Orthodoxy.\']', "[1915.0, 1972.0, 1975.0, 1975.0, 1914.0, 1904.0, 1904.0, 1910.0, 1909.0]","['London, ', 'Harmondsworth Penguin', 'New York : Penguin,', 'New York : Penguin,', nan, nan, 'London, ', 'London, ', 'London, ', 'London, ', 'London, ']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 'Originally published, Bristol: J.W. Arrowsmith; London: Simpkin, Marshall, 1908', nan, nan, nan, nan, nan, nan, nan, nan, nan]",1904.0,1975.0,9
Garrett P. Serviss,"['Serviss, Garrett P.']", "['Other worlds, their nature, possibilities and habitability in the light of the latest discoveries.']", [1901.0],"['London & New York, ']",['eng'],[nan],[nan],1901.0,1901.0,1
Geoffrey Chaucer,"['Chaucer, Geoffrey,-1400.Canterbury tales.Prologue.', "Chaucer, Geoffrey,-1400.Pardoner's tale."]", '[\'The prologue to the Canterbury tales\', "The pardoner\'s tale notes"]', "[1985.0, 1980.0]","['Basingstoke Macmillan', 'London Longman']","['eng', 'eng']","['Chaucer, Geoffrey, -1400.', 'Chaucer, Geoffrey, -1400.']","['Bibliography: p79-80', 'Bibliography: p67-68']",1980.0,1985.0,2
George Abbott,"['Abbott, George,Writer of Verse.']", '["The atheist\'s portrait; or, The mind and the man; a poem."]', [1860.0],"['London, ']",['eng'],[nan],[nan],1860.0,1860.0,1
George Adamson,"['Adamson, George,1913-']", "['Catweazle and the magic zodiac /']", [1971.0],['London Methuen'],['eng'],"["Children's stories."]","['Originally published, Harmondsworth: Penguin, 1971']",1971.0,1971.0,1
George Benson,"['Benson, George,1699-1762.']", '["The gospel-method of justification. A sermon preached at the merchants lecture, Salter\'s Hall, December the 6th, M.DCC.LVII. By George Benson, ..."]', [1758.0],"['London : printed for J. Waugh; and W. Fenner,']",['eng'],[nan],['ESTC'],1758.0,1758.0,1
George Horton,"['Horton, George,Novelist.', 'Horton, George,1860-1942.']", '["The monks\' treasure.", \'The blight of Asia : an account of the systematic extermination of Christian populations by Mohammedans and the culpability of certain great powers : with the true story of the burning of Smyrna /\']', "[1907.0, 2003.0]","['London, ', 'London : Sterndale Classics,']","['eng', 'eng']","[nan, 'Armenian massacres, 1915-1923.']","[nan, 'Includes index.']",1907.0,2003.0,2
George Lucas,"['Lucas, George,1944-']", "['Star wars from the adventures of Luke Skywalker : a novel']", [1978.0],['London Sphere'],['eng'],"["Children's stories."]","['Full ed.: New York : Ballantine Books ; London : Sphere, 1977']",1978.0,1978.0,1
George Orwell,"['Orwell, George,1903-1950.', 'Orwell, George,1903-1950.', 'Orwell, George,1903-1950.Animal farm.', 'Orwell, George,1903-1950.Animal farm.']", "['Animal farm a fairy story', 'Burmese days /', 'Nineteen eighty-four ; Animal farm /', 'Animal farm : George Orwell : guide /']", "[1975.0, 1967.0, 1984.0, 1987.0]","['Bath Lythway Press', 'London : Penguin,', 'London : Chancellor,', 'London Letts']","['eng', 'eng', 'eng', 'eng']","['English fiction.', 'Lumber trade', nan, 'Orwell, George, 1903-1950.']","['Originally published: London : Secker and Warburg, 1945', 'Originally published: New York, Harper & Brothers, 1934.', 'Nineteen eighty-four. Originally published: London : Secker & Warburg, 1949 -- Animal farm. Originally published: London : Secker & Warburg, 1945.', nan]",1967.0,1987.0,4
George P. Pelecanos,"['Pelecanos, George P.']", '["Nick\'s trip /"]', [1998.0],"['Leicester : W.F. Howes,']",['eng'],[nan],"["Originally published: London : Serpent's Tail, 1998."]",1998.0,1998.0,1
George Plimpton,"['Plimpton, George.']", "['Women writers at work : the Paris review interviews /']", [1989.0],"['New York, N.Y., U.S.A. : Penguin Books,']",['eng'],['Authorship.'],"['"The interviews in this collection are selected from Writers at work, series 1-8, published by Viking Penguin Inc."--T.p. verso.']",1989.0,1989.0,1
George R. R. Martin,"['Martin, George R. R.', 'Martin, George R. R.']", "['A game of thrones /', 'A clash of kings /']", "[1999.0, 2004.0]","['London : HarperCollins,', 'London : Harper Voyager,']","['eng', 'eng']","[nan, nan]","['Originally published: Great Britain: Voyager, 1996.', 'Originally published: Great Britain : Voyager, 1998.']",1999.0,2004.0,2
George R. Stewart,"['Stewart, George R.,1895-1980.']", "['The opening of the California trail. The story of the Stevens party from the reminiscences of Moses Schallenberger, as set down for H.H. Bancroft about 1885 /']", [1953.0],"['Berkeley, Calif.,']",['eng'],[nan],"['Originally published as part of "Pen pictures from the garden of the world".']",1953.0,1953.0,1
George Soper Cansdale,"['Cansdale, George Soper.']", "['Animals and man /']", [1963.0],"['London ; New York : White Lion Publishers,']",['eng'],"['Zoology, Economic.']",['Bibliography: p. 193-194.'],1963.0,1963.0,1
George Wallis,"['Wallis, George,1740-1802.']", "['The juvenaliad. A satire.']", [1774.0],"['York : printed by C. Etherington, for the author; and sold by the booksellers in York,']",['eng'],[nan],['ESTC'],1774.0,1774.0,1
Germaine Acremant,"['Acrémant, Germaine.']", "['Les enchanteresses roman']", [1971.0],[nan],['und'],[nan],[nan],1971.0,1971.0,1
Giacomo Puccini,"['Puccini, Giacomo,1858-1924.']", "['La Boheme']", [1984.0],['Welsh National Opera'],['   '],[nan],[nan],1984.0,1984.0,1
Giovanni Papini,"['Papini, Giovanni,1881-1956']", '["Sant\' Agostino /"]', [1929.0],"['Firenze : Vallecchi,']",['ita'],"['Augustine, of Hippo, Saint, 354-430']",['Includes bibliographical references (p. 375-416).'],1929.0,1929.0,1
Giovanni Raboni,"['Raboni, Giovanni,1932-']", "['La fossa di Cherubino']", [1980.0],[nan],['und'],[nan],[nan],1980.0,1980.0,1
Gitta Sereny,"['Sereny, Gitta.']", "['Into that darkness an examination of conscience']", [1977.0],['London Pan Books'],['eng'],['Concentration camps'],['Bibliography: p.369-372. - Includes index'],1977.0,1977.0,1
Giuseppe Tartini,"['Tartini, Giuseppe.', 'Tartini, Giuseppe.']", '[\'A letter from the late Signor Tartini to Signora Maddalena Lombardini (now Signora Sirmen) published as an important lesson to performers on the violin /\', "De\' Principj dell\'Armonia Musicale. A facsimile of the 1767 Padua edition."]', "[1913.0, 1967.0]","['London, ', 'New York, ']","['eng', 'ita']","[nan, nan]","['[Italian and English.]', nan]",1913.0,1967.0,2
Giuseppe Ungaretti,"['Ungaretti, Giuseppe,1888-1970.']", "['Il dolore, 1937-1946 /']", [1947.0],"['[Verona?] : Mondadori,']",['ita'],[nan],[nan],1947.0,1947.0,1
Gore Vidal,"['Vidal, Gore,1925-2012.', 'Vidal, Gore,1925-2012.Myron.']", "['The city and the pillar.', 'Myra Breckinridge & Myron /']", "[1965.0, 1989.0]","['London,', 'London : Abacus,']","['eng', 'eng']","[nan, nan]","[nan, 'First published in this ed.: London : Random House, 1986.']",1965.0,1989.0,2
Grace Shaw,"['Shaw, Grace.']", "['Through ebony eyes. Evangelism through journalism in West Africa, etc. [With a portrait and a map.]']", [1956.0],"['London, ']",['eng'],[nan],['Joint authors: Trevor Shaw and Grace Shaw.'],1956.0,1956.0,1
Graham Chapman,"['Chapman, Graham,1941-1989.']", '["A liar\'s autobiography volume VII /"]', [1980.0],['London Magnum'],['eng'],['Comedians'],"['Originally published: London : Eyre Methuen, 1980']",1980.0,1980.0,1
Graham Kennedy,"['Kennedy, Graham.']", "['David the King : true repentance /']", [2009.0],"['Fearn : Christian Focus Publications,']",['eng'],"['Bible stories, English']","['"Book 4 (told from 2 Samuel 11-19 and 1 Kings 1-2)"--T.p.']",2009.0,2009.0,1
Grant Stockbridge,"['Stockbridge, Grant.']", "['Death reign of the vampire king a Spider novel']", [1976.0],['London Mews Books London Distributed by New English Library'],['eng'],['English fiction.'],"['Originally published: in serial form. New York : Popular Publications, 1935']",1976.0,1976.0,1
Gunter Grass,"['Grass, Günter,1927-', 'Grass, Günter,1927-']", "['Gesammelte Gedichte /', 'Der Bürger und seine Stimme : Reden, Aufsätze, Kommentare / Günter Grass. -']", "[1974.0, 1974.0]","['Neuwied : Luchterhand,', 'Darmstadt : Luchterhand,']","['ger', 'ger']","[nan, nan]","[nan, nan]",1974.0,1974.0,2
Gunter Kunert,"['Kunert, Günter,1929-']", "['Warnung vor Spiegeln Unterwegs nach Utopia Abtötungsverfahren Gedichte']", [1981.0],['Munchen Deutscher Taschenbuch'],['ger'],[nan],[nan],1981.0,1981.0,1
